STROKE 1
156 127 1775644605.438000
164 117 1775644605.479000
169 117 1775644605.495000
174 120 1775644605.512000
179 125 1775644605.529000
182 133 1775644605.545000
182 139 1775644605.562000
182 145 1775644605.579000
180 150 1775644605.595000
176 155 1775644605.612000
171 158 1775644605.628000
166 160 1775644605.645000
161 160 1775644605.662000
157 160 1775644605.678000
154 160 1775644605.695000
153 160 1775644605.712000
153 160 1775644605.728000

STROKE 2
219 121 1775644605.903000
227 129 1775644605.978000
227 137 1775644605.995000
228 145 1775644606.012000
228 151 1775644606.028000
227 156 1775644606.045000
223 159 1775644606.061000
218 159 1775644606.078000
211 159 1775644606.095000
204 157 1775644606.111000
198 154 1775644606.128000
194 150 1775644606.144000
192 149 1775644606.161000
191 149 1775644606.177000

STROKE 3
222 123 1775644606.601000
212 118 1775644606.644000
210 115 1775644606.660000
207 111 1775644606.677000
206 106 1775644606.694000
206 99 1775644606.710000
207 93 1775644606.727000
213 88 1775644606.743000
219 86 1775644606.760000
225 85 1775644606.777000
229 85 1775644606.793000
233 86 1775644606.810000
236 90 1775644606.826000
238 96 1775644606.843000
239 103 1775644606.860000
239 110 1775644606.877000
238 116 1775644606.893000
233 122 1775644606.910000
227 127 1775644606.926000
219 130 1775644606.943000
213 130 1775644606.960000
208 130 1775644606.976000
205 126 1775644606.993000
204 121 1775644607.010000
204 116 1775644607.026000
206 114 1775644607.043000
212 112 1775644607.059000
220 112 1775644607.076000
234 116 1775644607.093000

