STROKE 1
146 153 1775805104.350000
138 159 1775805104.426000
134 159 1775805104.443000
130 159 1775805104.460000
126 159 1775805104.476000
123 155 1775805104.493000
121 150 1775805104.509000
121 143 1775805104.526000
121 137 1775805104.542000
126 132 1775805104.559000
133 128 1775805104.576000
140 126 1775805104.592000
145 126 1775805104.609000
149 126 1775805104.625000
152 129 1775805104.642000
154 133 1775805104.659000
156 138 1775805104.675000
156 142 1775805104.692000
157 145 1775805104.708000
157 148 1775805104.725000
157 150 1775805104.742000
157 151 1775805104.758000
156 152 1775805104.775000
154 153 1775805104.792000
149 155 1775805104.808000

STROKE 2
158 151 1775805105.166000
157 143 1775805105.208000
157 140 1775805105.225000
160 137 1775805105.241000
163 134 1775805105.258000
167 133 1775805105.275000
172 133 1775805105.291000
178 133 1775805105.308000
184 137 1775805105.324000
188 142 1775805105.341000
190 146 1775805105.358000
191 150 1775805105.374000
191 152 1775805105.391000
191 154 1775805105.408000
191 155 1775805105.424000
190 156 1775805105.441000
189 156 1775805105.458000

STROKE 3
201 143 1775805105.699000
200 148 1775805105.791000
200 154 1775805105.808000
204 161 1775805105.824000
211 167 1775805105.840000
219 171 1775805105.857000
225 172 1775805105.874000
230 172 1775805105.890000
232 169 1775805105.907000
232 163 1775805105.924000
232 156 1775805105.940000
229 150 1775805105.957000
226 146 1775805105.974000
224 144 1775805105.990000
224 144 1775805106.007000

STROKE 4
225 143 1775805106.248000
216 142 1775805106.374000
214 136 1775805106.390000
214 130 1775805106.407000
214 124 1775805106.423000
223 118 1775805106.440000
251 113 1775805106.457000
268 112 1775805106.473000

