STROKE 1
88 150 1775907729.126000
97 152 1775907729.201000
100 158 1775907729.218000
101 164 1775907729.234000
101 168 1775907729.251000
100 171 1775907729.267000
95 172 1775907729.284000
88 172 1775907729.301000
82 169 1775907729.318000
78 163 1775907729.334000
76 155 1775907729.351000
76 147 1775907729.367000
76 139 1775907729.384000
81 133 1775907729.401000
87 130 1775907729.417000
93 130 1775907729.434000
101 130 1775907729.450000

STROKE 2
140 152 1775907729.659000
136 156 1775907729.717000
136 159 1775907729.733000
134 162 1775907729.750000
130 163 1775907729.767000
126 163 1775907729.783000
122 162 1775907729.800000
119 156 1775907729.817000
118 150 1775907729.833000
118 145 1775907729.850000
118 141 1775907729.866000
119 138 1775907729.883000
123 136 1775907729.900000
126 136 1775907729.916000
128 136 1775907729.933000
130 136 1775907729.949000
132 138 1775907729.966000
133 142 1775907729.983000
134 146 1775907729.999000
134 150 1775907730.016000
134 154 1775907730.033000
134 157 1775907730.050000
134 160 1775907730.066000
134 162 1775907730.083000
134 162 1775907730.099000
134 161 1775907730.133000
134 156 1775907730.149000
134 150 1775907730.166000
136 145 1775907730.183000
140 140 1775907730.199000
145 137 1775907730.216000
150 135 1775907730.232000
156 135 1775907730.249000
160 135 1775907730.266000
162 138 1775907730.282000
163 142 1775907730.299000
163 146 1775907730.316000
163 150 1775907730.332000
163 154 1775907730.349000
163 156 1775907730.365000
163 158 1775907730.382000
162 158 1775907730.399000
162 158 1775907730.416000
162 158 1775907730.432000
162 153 1775907730.449000
162 148 1775907730.465000
164 142 1775907730.482000
168 138 1775907730.499000
173 135 1775907730.515000
179 133 1775907730.532000
184 133 1775907730.549000
187 134 1775907730.565000
189 138 1775907730.582000
189 142 1775907730.599000
189 146 1775907730.615000
189 149 1775907730.632000
189 152 1775907730.648000

STROKE 3
209 163 1775907730.857000
205 155 1775907730.898000
205 151 1775907730.915000
205 146 1775907730.932000
205 142 1775907730.948000
206 138 1775907730.965000
209 136 1775907730.981000
212 135 1775907730.998000
214 135 1775907731.015000
216 135 1775907731.031000
217 137 1775907731.048000
218 140 1775907731.065000
219 142 1775907731.081000
219 144 1775907731.098000
220 145 1775907731.114000
221 146 1775907731.131000
223 146 1775907731.148000
226 143 1775907731.164000
230 139 1775907731.181000
236 136 1775907731.198000
243 135 1775907731.214000
248 135 1775907731.231000
252 137 1775907731.247000
254 142 1775907731.264000
254 147 1775907731.281000
254 151 1775907731.298000
254 156 1775907731.314000
252 158 1775907731.331000

STROKE 4
249 132 1775907731.490000
242 134 1775907731.547000
237 134 1775907731.564000
232 132 1775907731.581000
230 124 1775907731.597000
230 115 1775907731.614000
230 108 1775907731.631000
236 105 1775907731.647000
248 104 1775907731.664000
264 110 1775907731.680000

