STROKE 1
144 131 1775798170.797000
142 138 1775798170.854000
143 145 1775798170.871000
149 154 1775798170.888000

STROKE 2
173 127 1775798171.044000
175 125 1775798171.104000
175 129 1775798171.121000
175 134 1775798171.138000
175 139 1775798171.154000
175 144 1775798171.170000
174 148 1775798171.187000
168 152 1775798171.204000
161 154 1775798171.220000
154 155 1775798171.237000
149 155 1775798171.253000
146 154 1775798171.270000
146 150 1775798171.287000
146 147 1775798171.303000
147 146 1775798171.320000
150 145 1775798171.337000
154 145 1775798171.353000
159 145 1775798171.370000
164 145 1775798171.386000
167 145 1775798171.403000
169 145 1775798171.420000
170 145 1775798171.437000
170 147 1775798171.453000
170 147 1775798171.470000
170 148 1775798171.486000

STROKE 3
174 158 1775798171.710000
173 160 1775798171.770000
173 164 1775798171.787000
173 170 1775798171.803000
172 177 1775798171.819000
169 183 1775798171.836000
165 188 1775798171.853000
159 192 1775798171.869000
152 193 1775798171.886000
145 193 1775798171.903000
138 191 1775798171.919000
132 183 1775798171.936000
127 172 1775798171.953000
124 158 1775798171.969000
123 142 1775798171.986000
123 128 1775798172.003000
125 116 1775798172.019000
130 109 1775798172.036000
136 105 1775798172.052000
143 105 1775798172.069000
157 105 1775798172.085000
168 105 1775798172.102000

STROKE 4
209 152 1775798172.276000
199 153 1775798172.336000
196 153 1775798172.352000
193 153 1775798172.369000
191 147 1775798172.385000
191 138 1775798172.402000
191 131 1775798172.418000
192 126 1775798172.435000
195 123 1775798172.452000
198 123 1775798172.469000
200 123 1775798172.485000
201 123 1775798172.502000
201 123 1775798172.552000
197 123 1775798172.569000
193 122 1775798172.585000
190 118 1775798172.602000
189 114 1775798172.618000
188 109 1775798172.635000
188 105 1775798172.651000
192 104 1775798172.668000
196 104 1775798172.685000
204 106 1775798172.701000

STROKE 5
227 123 1775798175.537000
233 122 1775798175.781000
231 123 1775798175.798000
230 123 1775798175.814000
229 123 1775798175.831000
229 123 1775798175.847000

STROKE 6
237 152 1775798176.203000
238 153 1775798176.480000
235 154 1775798176.496000
233 154 1775798176.513000
231 154 1775798176.530000
231 154 1775798176.546000

