STROKE 1
144 187 1775892455.660000
138 180 1775892455.684000
138 175 1775892455.701000
137 170 1775892455.718000
137 165 1775892455.734000
138 159 1775892455.751000
143 154 1775892455.768000
149 151 1775892455.784000
154 149 1775892455.801000
158 149 1775892455.818000
161 149 1775892455.834000
162 150 1775892455.851000
163 154 1775892455.868000
163 159 1775892455.884000
164 163 1775892455.901000
164 167 1775892455.918000
164 169 1775892455.934000
164 170 1775892455.950000
164 167 1775892455.984000
165 162 1775892456.000000
167 157 1775892456.017000
171 153 1775892456.034000
176 150 1775892456.050000
180 149 1775892456.067000
183 148 1775892456.084000
186 148 1775892456.101000
188 149 1775892456.117000
189 152 1775892456.134000
189 156 1775892456.151000
189 161 1775892456.167000
189 165 1775892456.184000
189 168 1775892456.200000
189 172 1775892456.217000
189 175 1775892456.234000

STROKE 2
196 147 1775892461.385000
198 154 1775892461.460000
198 160 1775892461.477000
198 166 1775892461.493000
198 171 1775892461.510000
199 175 1775892461.526000
201 177 1775892461.543000
203 178 1775892461.560000
205 178 1775892461.576000
208 178 1775892461.593000
212 175 1775892461.610000
217 172 1775892461.626000
220 168 1775892461.643000
223 164 1775892461.660000
226 161 1775892461.676000
227 157 1775892461.693000
227 154 1775892461.709000
227 151 1775892461.726000
227 149 1775892461.742000
227 148 1775892461.759000
227 148 1775892461.775000

STROKE 3
203 170 1775892462.134000
209 164 1775892462.192000
212 164 1775892462.209000
215 164 1775892462.225000
218 164 1775892462.242000
220 167 1775892462.258000
222 169 1775892462.275000
224 170 1775892462.292000

STROKE 4
228 144 1775892462.516000
223 142 1775892462.575000
220 142 1775892462.591000
215 141 1775892462.608000
210 136 1775892462.625000
207 132 1775892462.641000
206 127 1775892462.658000
206 123 1775892462.675000
206 119 1775892462.691000
212 117 1775892462.708000
224 117 1775892462.724000

STROKE 5
242 141 1775892464.680000
243 139 1775892464.922000
242 140 1775892464.938000
240 141 1775892464.955000
239 142 1775892464.971000
239 142 1775892464.988000
238 142 1775892465.004000
238 143 1775892465.038000
238 143 1775892465.055000
240 145 1775892465.071000

STROKE 6
243 175 1775892465.395000
249 169 1775892465.638000
249 169 1775892465.654000
248 169 1775892465.670000
248 169 1775892465.687000
247 169 1775892465.721000
247 169 1775892465.771000
247 169 1775892465.787000
246 169 1775892465.804000
246 169 1775892465.820000
245 169 1775892465.837000
245 169 1775892465.854000
245 169 1775892465.870000
245 171 1775892465.886000

