STROKE 1
170 124 1775645200.678000
167 132 1775645200.740000
168 140 1775645200.757000
171 147 1775645200.773000
176 152 1775645200.790000
182 154 1775645200.806000
188 154 1775645200.823000
193 154 1775645200.840000
197 151 1775645200.856000
200 145 1775645200.873000
201 138 1775645200.890000
201 131 1775645200.906000
202 126 1775645200.923000
203 122 1775645200.940000
203 120 1775645200.956000
204 120 1775645200.973000
204 121 1775645201.006000
204 125 1775645201.023000
204 132 1775645201.040000
203 141 1775645201.056000
201 155 1775645201.073000
199 170 1775645201.089000
195 183 1775645201.106000
190 194 1775645201.123000
185 202 1775645201.139000
179 206 1775645201.156000
172 207 1775645201.173000
164 207 1775645201.189000
156 203 1775645201.206000
147 196 1775645201.222000
139 184 1775645201.239000
134 169 1775645201.256000
132 150 1775645201.272000
132 133 1775645201.289000
132 120 1775645201.306000
133 109 1775645201.322000
138 102 1775645201.339000
145 97 1775645201.356000
154 96 1775645201.372000
167 96 1775645201.389000
196 102 1775645201.406000

STROKE 2
250 161 1775645201.563000
243 161 1775645201.622000
240 161 1775645201.639000
237 159 1775645201.656000
235 153 1775645201.672000
233 146 1775645201.689000
233 140 1775645201.705000
233 135 1775645201.722000
234 134 1775645201.739000
237 133 1775645201.755000
241 133 1775645201.772000
243 133 1775645201.788000
243 134 1775645201.805000
243 134 1775645201.822000
242 134 1775645201.838000
236 134 1775645201.855000
229 129 1775645201.872000
224 123 1775645201.888000
221 116 1775645201.905000
221 109 1775645201.921000
222 104 1775645201.938000
229 103 1775645201.955000
238 103 1775645201.971000
248 108 1775645201.988000

