STROKE 1
128 141 1775711188.352000
127 150 1775711188.414000
127 154 1775711188.430000
129 158 1775711188.446000
134 162 1775711188.463000
141 163 1775711188.479000
148 163 1775711188.496000
154 163 1775711188.513000
159 159 1775711188.529000
163 154 1775711188.546000
165 149 1775711188.562000
165 143 1775711188.579000
165 137 1775711188.596000
165 132 1775711188.612000
164 131 1775711188.629000

STROKE 2
176 126 1775711188.970000
172 130 1775711189.012000
168 131 1775711189.028000
165 132 1775711189.045000
160 132 1775711189.062000
157 132 1775711189.078000
155 125 1775711189.095000
155 117 1775711189.112000
155 108 1775711189.128000
160 100 1775711189.145000
167 96 1775711189.162000
173 96 1775711189.178000
177 96 1775711189.195000
179 100 1775711189.211000
179 106 1775711189.228000
179 113 1775711189.245000
179 120 1775711189.261000
174 129 1775711189.278000

STROKE 3
140 162 1775711191.015000
141 163 1775711191.092000
141 168 1775711191.109000
141 175 1775711191.125000
141 182 1775711191.142000
141 188 1775711191.159000
142 193 1775711191.175000
142 195 1775711191.192000
144 196 1775711191.209000
146 196 1775711191.225000
151 196 1775711191.242000

STROKE 4
209 151 1775711191.647000
206 152 1775711191.674000
202 155 1775711191.691000
196 156 1775711191.707000
189 157 1775711191.724000
185 156 1775711191.741000
184 150 1775711191.758000
184 145 1775711191.774000
184 140 1775711191.791000
188 135 1775711191.808000
194 133 1775711191.824000
199 130 1775711191.841000
204 130 1775711191.857000
205 130 1775711191.874000
201 130 1775711191.925000
197 127 1775711191.941000
194 120 1775711191.957000
192 112 1775711191.974000
192 106 1775711191.991000
192 103 1775711192.007000
197 102 1775711192.024000
203 103 1775711192.041000
209 108 1775711192.057000

STROKE 5
225 132 1775711193.411000
232 131 1775711193.705000
230 132 1775711193.722000
229 132 1775711193.738000
228 132 1775711193.755000
228 133 1775711193.788000

STROKE 6
223 162 1775711195.574000
229 163 1775711195.835000
227 163 1775711195.852000
227 162 1775711195.868000
227 161 1775711195.885000
227 161 1775711195.901000

