STROKE 1
152 119 1775638210.169000
150 110 1775638210.180000
150 104 1775638210.197000
151 102 1775638210.214000
154 101 1775638210.231000
158 101 1775638210.247000
163 101 1775638210.264000
169 105 1775638210.281000
173 112 1775638210.297000
177 120 1775638210.314000
178 128 1775638210.331000
179 136 1775638210.347000
179 144 1775638210.364000
179 151 1775638210.381000
179 156 1775638210.397000
174 161 1775638210.414000
169 164 1775638210.430000
164 165 1775638210.447000
160 165 1775638210.464000
157 161 1775638210.480000
157 155 1775638210.497000
157 148 1775638210.514000
158 141 1775638210.530000
162 137 1775638210.547000
166 133 1775638210.564000
171 132 1775638210.580000
175 132 1775638210.597000
179 132 1775638210.614000
182 134 1775638210.630000
185 138 1775638210.647000
187 143 1775638210.664000
188 146 1775638210.680000

STROKE 2
219 93 1775638210.870000
218 100 1775638210.913000
218 111 1775638210.930000
218 125 1775638210.947000
218 142 1775638210.963000
218 156 1775638210.980000
218 169 1775638210.996000
217 180 1775638211.013000
214 189 1775638211.030000
210 197 1775638211.046000
206 201 1775638211.063000
202 202 1775638211.080000
196 202 1775638211.096000
190 202 1775638211.113000
185 198 1775638211.130000
180 190 1775638211.146000
179 178 1775638211.163000

STROKE 3
222 94 1775638211.370000
212 96 1775638211.396000
205 96 1775638211.413000
198 96 1775638211.429000
191 94 1775638211.446000
186 87 1775638211.463000
185 76 1775638211.479000
185 62 1775638211.496000
194 46 1775638211.513000
204 35 1775638211.529000
210 30 1775638211.546000
213 30 1775638211.562000
217 31 1775638211.579000
220 37 1775638211.596000
223 44 1775638211.612000
225 54 1775638211.629000
225 66 1775638211.646000
225 78 1775638211.662000
222 88 1775638211.679000
218 96 1775638211.696000
212 100 1775638211.712000

STROKE 4
274 107 1775638211.987000
264 108 1775638212.001000
257 108 1775638212.012000
252 109 1775638212.028000
249 112 1775638212.045000
247 116 1775638212.062000
247 120 1775638212.078000
248 124 1775638212.095000
252 128 1775638212.112000
255 132 1775638212.128000
257 135 1775638212.145000
258 138 1775638212.162000
258 141 1775638212.178000
258 145 1775638212.195000
254 148 1775638212.211000
249 149 1775638212.228000
244 149 1775638212.245000
241 149 1775638212.261000
240 148 1775638212.278000
240 143 1775638212.295000
245 139 1775638212.311000
250 136 1775638212.328000
254 136 1775638212.345000
257 136 1775638212.361000
259 140 1775638212.378000
259 146 1775638212.394000
260 153 1775638212.411000
260 161 1775638212.428000
260 170 1775638212.444000
260 179 1775638212.461000
260 188 1775638212.478000
260 195 1775638212.495000
259 199 1775638212.511000
258 200 1775638212.528000

STROKE 5
263 101 1775638212.701000
254 98 1775638212.744000
250 96 1775638212.761000
247 91 1775638212.778000
246 87 1775638212.794000
246 83 1775638212.795000
250 68 1775638212.811000
265 51 1775638212.828000
276 44 1775638212.844000
282 44 1775638212.861000
285 45 1775638212.878000
288 51 1775638212.894000
290 61 1775638212.911000

