STROKE 1
157 164 1775645694.723000
158 158 1775645694.747000
160 154 1775645694.764000
167 149 1775645694.781000
175 146 1775645694.797000
183 145 1775645694.814000
191 145 1775645694.831000
197 149 1775645694.847000
200 155 1775645694.864000
201 163 1775645694.880000
201 170 1775645694.897000
198 178 1775645694.914000
192 186 1775645694.930000
183 191 1775645694.947000
175 194 1775645694.964000
169 195 1775645694.980000
165 192 1775645694.997000
161 185 1775645695.014000
158 176 1775645695.030000
158 167 1775645695.047000
158 159 1775645695.064000
165 155 1775645695.080000
172 153 1775645695.097000
177 153 1775645695.113000
180 154 1775645695.130000
181 159 1775645695.147000
181 164 1775645695.163000
181 171 1775645695.180000
177 178 1775645695.197000
173 184 1775645695.213000
169 187 1775645695.230000

STROKE 2
182 142 1775645695.505000
171 142 1775645695.546000
167 141 1775645695.563000
164 138 1775645695.579000
162 131 1775645695.596000
162 120 1775645695.613000
168 111 1775645695.629000
175 105 1775645695.646000
183 103 1775645695.663000
188 103 1775645695.679000
191 104 1775645695.696000
193 110 1775645695.713000
194 118 1775645695.729000
194 127 1775645695.746000
191 136 1775645695.762000
186 143 1775645695.779000
181 146 1775645695.796000
175 147 1775645695.812000
171 146 1775645695.829000
168 141 1775645695.846000
167 134 1775645695.862000
167 129 1775645695.879000
168 125 1775645695.896000
173 124 1775645695.912000
184 124 1775645695.929000

STROKE 3
219 151 1775645696.137000
222 155 1775645696.246000
221 156 1775645696.262000
218 157 1775645696.279000
215 157 1775645696.295000
214 154 1775645696.312000
214 149 1775645696.329000
214 146 1775645696.345000
216 145 1775645696.362000
220 145 1775645696.379000

STROKE 4
219 193 1775645696.536000
215 195 1775645696.695000
213 195 1775645696.711000
212 192 1775645696.728000
212 189 1775645696.745000
213 189 1775645696.761000

