STROKE 1
102 160 1775635782.140000
110 153 1775635782.182000
115 153 1775635782.199000
120 153 1775635782.216000
125 153 1775635782.233000
127 156 1775635782.249000
127 160 1775635782.266000
127 165 1775635782.282000
121 171 1775635782.299000
115 174 1775635782.316000
108 176 1775635782.332000
101 176 1775635782.349000
95 176 1775635782.366000
89 174 1775635782.382000
86 170 1775635782.399000
85 165 1775635782.415000
85 159 1775635782.432000
85 153 1775635782.449000
86 147 1775635782.465000
91 140 1775635782.482000
97 134 1775635782.499000
104 131 1775635782.516000
110 128 1775635782.532000
116 126 1775635782.549000
123 126 1775635782.565000
133 126 1775635782.582000

STROKE 2
182 120 1775635782.806000
169 125 1775635782.865000
165 129 1775635782.882000
162 133 1775635782.898000
160 138 1775635782.915000
159 141 1775635782.932000
159 145 1775635782.948000
162 149 1775635782.965000
166 151 1775635782.982000
169 155 1775635782.998000
170 157 1775635783.015000
170 160 1775635783.031000
170 163 1775635783.048000
167 164 1775635783.064000
163 164 1775635783.081000
159 164 1775635783.098000
156 163 1775635783.114000
154 160 1775635783.131000
154 157 1775635783.148000
155 153 1775635783.164000
160 150 1775635783.181000
166 149 1775635783.198000
169 149 1775635783.214000
172 149 1775635783.231000
173 149 1775635783.248000
174 155 1775635783.264000
174 161 1775635783.281000
174 168 1775635783.298000
174 175 1775635783.314000
174 182 1775635783.331000
174 189 1775635783.348000
174 195 1775635783.364000
174 201 1775635783.381000
174 206 1775635783.398000
174 209 1775635783.414000
175 210 1775635783.430000
175 210 1775635783.447000

STROKE 3
166 152 1775635783.622000
165 143 1775635783.664000
166 140 1775635783.680000
170 137 1775635783.697000
177 133 1775635783.714000
186 131 1775635783.730000
194 130 1775635783.747000
201 130 1775635783.764000
207 130 1775635783.780000
211 132 1775635783.797000
214 136 1775635783.814000
215 141 1775635783.830000
215 146 1775635783.847000
215 150 1775635783.863000
215 154 1775635783.880000
214 156 1775635783.897000
212 157 1775635783.913000

STROKE 4
241 165 1775635784.121000
235 161 1775635784.163000
231 154 1775635784.179000
228 147 1775635784.197000
227 138 1775635784.213000
227 132 1775635784.230000
228 127 1775635784.246000
234 125 1775635784.263000
240 125 1775635784.279000
244 125 1775635784.297000
249 125 1775635784.313000
254 128 1775635784.330000
260 134 1775635784.346000
263 141 1775635784.363000
265 146 1775635784.379000
265 149 1775635784.396000
265 151 1775635784.412000
265 147 1775635784.446000
265 138 1775635784.463000
266 129 1775635784.479000
272 124 1775635784.496000
279 120 1775635784.512000
287 119 1775635784.529000
292 118 1775635784.546000
297 118 1775635784.562000
300 118 1775635784.579000
303 119 1775635784.595000
306 123 1775635784.612000
309 128 1775635784.629000
311 133 1775635784.646000
312 138 1775635784.662000
312 143 1775635784.679000
312 147 1775635784.696000
311 149 1775635784.712000
311 151 1775635784.729000
310 151 1775635784.745000

STROKE 5
308 115 1775635784.920000
293 113 1775635784.962000
288 113 1775635784.978000
282 110 1775635784.995000
275 108 1775635785.012000
268 104 1775635785.028000
261 100 1775635785.045000
256 96 1775635785.062000
255 92 1775635785.078000
257 90 1775635785.095000
268 88 1775635785.112000
284 87 1775635785.128000
296 87 1775635785.145000

