STROKE 1
152 140 1775646086.288000
165 129 1775646086.330000
173 131 1775646086.346000
181 136 1775646086.363000
186 142 1775646086.380000
189 148 1775646086.396000
190 152 1775646086.413000
190 155 1775646086.430000
188 158 1775646086.446000
183 161 1775646086.463000
177 164 1775646086.480000
171 165 1775646086.496000
164 166 1775646086.513000
159 166 1775646086.529000
156 166 1775646086.546000
155 166 1775646086.563000
155 166 1775646086.630000
157 166 1775646086.646000
158 172 1775646086.663000
160 181 1775646086.679000
163 191 1775646086.696000
165 200 1775646086.712000
167 207 1775646086.729000
169 211 1775646086.746000
172 214 1775646086.762000
176 214 1775646086.779000
181 213 1775646086.796000
186 210 1775646086.812000
192 208 1775646086.829000
198 207 1775646086.845000
205 207 1775646086.862000

STROKE 2
229 131 1775646087.021000
240 134 1775646087.079000
242 144 1775646087.095000
243 153 1775646087.112000
243 161 1775646087.129000
240 165 1775646087.145000
232 168 1775646087.162000
223 169 1775646087.178000
213 169 1775646087.195000
204 169 1775646087.212000
197 166 1775646087.228000
192 162 1775646087.245000
190 160 1775646087.261000

STROKE 3
223 134 1775646087.453000
212 125 1775646087.477000
209 118 1775646087.494000
207 111 1775646087.511000
207 104 1775646087.528000
207 97 1775646087.544000
212 92 1775646087.561000
220 90 1775646087.578000
227 90 1775646087.594000
232 90 1775646087.611000
236 90 1775646087.628000
238 94 1775646087.644000
239 100 1775646087.661000
240 109 1775646087.677000
240 118 1775646087.694000
240 126 1775646087.711000
235 133 1775646087.727000
229 137 1775646087.744000
222 138 1775646087.761000
216 138 1775646087.777000
213 135 1775646087.794000
212 128 1775646087.810000
212 123 1775646087.827000
218 119 1775646087.844000
225 117 1775646087.861000
233 117 1775646087.877000
244 117 1775646087.894000
253 121 1775646087.910000

