STROKE 1
124 156 1775796979.913000
122 144 1775796979.938000
122 139 1775796979.955000
122 133 1775796979.972000
122 128 1775796979.988000
125 123 1775796980.005000
129 119 1775796980.022000
134 118 1775796980.038000
137 118 1775796980.055000
139 120 1775796980.072000
139 125 1775796980.088000
140 130 1775796980.105000
140 134 1775796980.122000
140 139 1775796980.138000
141 143 1775796980.155000
142 146 1775796980.171000
143 149 1775796980.188000
144 151 1775796980.205000
146 153 1775796980.221000
149 154 1775796980.238000
151 155 1775796980.255000
154 155 1775796980.271000
157 155 1775796980.288000
161 153 1775796980.305000
164 149 1775796980.321000
167 145 1775796980.338000
169 140 1775796980.355000
170 134 1775796980.371000
170 127 1775796980.388000
170 122 1775796980.405000
169 118 1775796980.421000
167 117 1775796980.438000
166 117 1775796980.454000

STROKE 2
188 124 1775796980.712000
187 131 1775796980.804000
187 135 1775796980.821000
188 139 1775796980.838000
191 141 1775796980.854000
194 143 1775796980.871000
198 144 1775796980.887000
202 144 1775796980.904000
205 144 1775796980.921000
208 144 1775796980.937000
210 142 1775796980.954000
211 138 1775796980.971000
211 133 1775796980.987000
211 128 1775796981.004000
210 125 1775796981.020000
208 124 1775796981.037000
207 124 1775796981.053000
206 124 1775796981.070000

STROKE 3
229 124 1775796983.075000
238 128 1775796983.200000
238 131 1775796983.216000
238 134 1775796983.233000
238 137 1775796983.249000
238 140 1775796983.266000
238 142 1775796983.283000
235 143 1775796983.299000
232 145 1775796983.316000
228 146 1775796983.333000
225 146 1775796983.349000
222 146 1775796983.366000
220 145 1775796983.383000
219 144 1775796983.399000
219 144 1775796983.417000

STROKE 4
246 107 1775796983.757000
238 110 1775796983.867000
233 106 1775796983.883000
231 100 1775796983.899000
230 94 1775796983.916000
230 90 1775796983.933000
235 87 1775796983.949000
241 87 1775796983.966000
266 92 1775796983.982000

STROKE 5
208 142 1775796990.065000
216 145 1775796990.224000
218 145 1775796990.242000
220 146 1775796990.257000

