STROKE 1
148 157 1775662117.561000
139 164 1775662117.586000
135 165 1775662117.603000
132 165 1775662117.620000
129 165 1775662117.636000
127 163 1775662117.653000
126 154 1775662117.669000
126 145 1775662117.686000
126 136 1775662117.703000
129 129 1775662117.720000
135 125 1775662117.736000
141 125 1775662117.753000
146 125 1775662117.770000
148 131 1775662117.786000
149 138 1775662117.803000
149 144 1775662117.819000
148 149 1775662117.836000
146 153 1775662117.853000
146 155 1775662117.869000

STROKE 2
145 155 1775662118.194000
149 141 1775662118.219000
153 135 1775662118.235000
158 133 1775662118.252000
164 132 1775662118.269000
170 132 1775662118.285000
174 138 1775662118.302000
177 144 1775662118.319000
178 150 1775662118.335000
178 155 1775662118.352000
178 159 1775662118.369000
177 161 1775662118.385000
177 162 1775662118.402000

STROKE 3
215 130 1775662118.594000
207 132 1775662118.635000
207 137 1775662118.652000
207 142 1775662118.668000
208 147 1775662118.685000
210 152 1775662118.701000
212 156 1775662118.718000
212 159 1775662118.735000
212 160 1775662118.751000
210 160 1775662118.768000
205 160 1775662118.785000
202 158 1775662118.801000
199 156 1775662118.818000
198 156 1775662118.834000
198 155 1775662118.851000
202 155 1775662118.885000
206 155 1775662118.901000
210 157 1775662118.918000
212 160 1775662118.934000
212 164 1775662118.951000
212 170 1775662118.968000
212 177 1775662118.984000
212 186 1775662119.001000
212 195 1775662119.017000
212 204 1775662119.034000

STROKE 4
217 121 1775662119.260000
206 123 1775662119.284000
198 124 1775662119.300000
192 125 1775662119.317000
187 125 1775662119.334000
186 120 1775662119.350000
186 111 1775662119.367000
193 101 1775662119.384000
204 94 1775662119.400000
216 91 1775662119.417000
225 91 1775662119.434000
228 91 1775662119.450000

STROKE 5
245 136 1775662123.321000
249 135 1775662123.545000
247 135 1775662123.562000
246 135 1775662123.578000
245 134 1775662123.595000

STROKE 6
254 160 1775662124.535000
251 163 1775662124.810000
252 163 1775662124.826000

