STROKE 1
121 122 1775644597.882000
118 128 1775644597.941000
118 133 1775644597.957000
118 138 1775644597.974000
118 142 1775644597.990000
120 145 1775644598.007000
124 147 1775644598.024000
130 150 1775644598.040000

STROKE 2
152 119 1775644598.214000
158 119 1775644598.273000
160 124 1775644598.290000
161 130 1775644598.307000
162 137 1775644598.323000
162 142 1775644598.340000
160 147 1775644598.356000
156 151 1775644598.373000
151 154 1775644598.390000
146 155 1775644598.406000
141 155 1775644598.423000
138 155 1775644598.439000
136 150 1775644598.456000
136 146 1775644598.473000
136 142 1775644598.489000
136 140 1775644598.506000
139 139 1775644598.522000
142 139 1775644598.539000
145 139 1775644598.556000
146 139 1775644598.572000
147 140 1775644598.589000

STROKE 3
174 128 1775644598.763000
176 129 1775644598.822000
176 135 1775644598.839000
176 142 1775644598.856000
177 150 1775644598.872000
177 158 1775644598.889000
177 167 1775644598.905000
177 177 1775644598.922000
177 185 1775644598.939000
175 193 1775644598.956000
172 198 1775644598.972000
167 201 1775644598.989000
163 202 1775644599.005000
158 203 1775644599.022000
154 203 1775644599.038000
150 200 1775644599.055000
147 195 1775644599.072000
146 185 1775644599.088000
146 175 1775644599.105000
149 167 1775644599.122000
152 164 1775644599.138000

STROKE 4
192 159 1775644599.349000
188 154 1775644599.371000
188 150 1775644599.388000
188 146 1775644599.404000
188 141 1775644599.421000
188 136 1775644599.438000
189 133 1775644599.455000
191 130 1775644599.471000
196 129 1775644599.488000
201 129 1775644599.505000
205 130 1775644599.521000
209 133 1775644599.538000
211 137 1775644599.554000
212 141 1775644599.571000
212 145 1775644599.588000
212 148 1775644599.604000
212 150 1775644599.621000
212 150 1775644599.637000
213 148 1775644599.671000
216 141 1775644599.688000
222 135 1775644599.704000
229 131 1775644599.721000
237 128 1775644599.737000
244 128 1775644599.754000
249 128 1775644599.771000
251 132 1775644599.787000
252 137 1775644599.804000
252 143 1775644599.820000
252 148 1775644599.837000
252 152 1775644599.854000
251 157 1775644599.870000
248 161 1775644599.887000

STROKE 5
252 125 1775644600.061000
247 127 1775644600.103000
243 127 1775644600.120000
238 127 1775644600.137000
232 127 1775644600.153000
227 121 1775644600.170000
224 112 1775644600.187000
224 105 1775644600.203000
224 99 1775644600.220000
228 95 1775644600.236000
236 95 1775644600.253000
245 95 1775644600.270000
260 103 1775644600.286000
276 112 1775644600.303000

