STROKE 1
126 134 1775805571.628000
140 133 1775805571.704000
144 136 1775805571.721000
147 141 1775805571.737000
147 144 1775805571.754000
147 147 1775805571.770000
147 150 1775805571.786000
145 153 1775805571.803000
142 156 1775805571.819000
138 158 1775805571.836000
135 159 1775805571.853000
131 160 1775805571.869000
129 160 1775805571.886000
127 160 1775805571.902000

STROKE 2
166 137 1775805572.210000
175 141 1775805572.337000
175 145 1775805572.353000
175 148 1775805572.369000
175 150 1775805572.386000
172 153 1775805572.402000
168 154 1775805572.419000
164 155 1775805572.435000
158 155 1775805572.452000
154 155 1775805572.468000
150 154 1775805572.485000
149 153 1775805572.502000
148 153 1775805572.519000

STROKE 3
197 142 1775805572.892000
193 149 1775805573.002000
194 152 1775805573.018000
196 155 1775805573.035000
200 157 1775805573.051000
203 158 1775805573.068000
206 158 1775805573.084000
208 158 1775805573.101000
209 158 1775805573.118000
210 156 1775805573.134000
210 153 1775805573.151000
210 150 1775805573.167000
210 147 1775805573.184000
210 144 1775805573.200000
210 143 1775805573.217000
210 142 1775805573.234000

STROKE 4
234 145 1775805573.542000
244 148 1775805573.667000
243 151 1775805573.684000
241 155 1775805573.700000
238 158 1775805573.717000
234 161 1775805573.733000
230 163 1775805573.750000
225 164 1775805573.767000
220 164 1775805573.783000
217 164 1775805573.800000
214 163 1775805573.816000
213 161 1775805573.833000
213 161 1775805573.849000

STROKE 5
237 143 1775805574.121000
230 139 1775805574.233000
230 131 1775805574.250000
230 123 1775805574.266000
230 116 1775805574.283000
235 113 1775805574.299000
242 113 1775805574.316000
258 119 1775805574.332000

