STROKE 1
166 103 1775638318.221000
154 98 1775638318.263000
153 99 1775638318.280000
152 101 1775638318.297000
152 104 1775638318.314000
152 108 1775638318.330000
155 112 1775638318.347000
159 118 1775638318.364000
164 126 1775638318.380000
166 135 1775638318.397000
166 143 1775638318.414000
166 149 1775638318.430000
161 152 1775638318.447000
154 152 1775638318.463000
147 152 1775638318.480000
142 150 1775638318.496000
140 146 1775638318.513000
139 143 1775638318.530000
139 140 1775638318.546000
143 136 1775638318.563000
147 134 1775638318.580000
151 133 1775638318.596000
154 133 1775638318.613000
157 134 1775638318.629000
158 139 1775638318.646000
160 147 1775638318.663000
162 156 1775638318.679000
164 166 1775638318.696000
165 174 1775638318.713000
166 182 1775638318.729000
166 188 1775638318.746000
167 192 1775638318.763000
167 194 1775638318.780000
167 195 1775638318.796000

STROKE 2
163 138 1775638318.987000
162 126 1775638319.001000
162 118 1775638319.012000
166 113 1775638319.029000
171 110 1775638319.046000
177 109 1775638319.062000
184 109 1775638319.079000
189 109 1775638319.095000
194 112 1775638319.112000
196 118 1775638319.129000
196 124 1775638319.145000
196 130 1775638319.162000
196 137 1775638319.179000
196 142 1775638319.195000
195 146 1775638319.212000
194 148 1775638319.229000
193 148 1775638319.245000
192 148 1775638319.262000

STROKE 3
222 122 1775638319.419000
219 118 1775638319.579000
219 116 1775638319.595000
219 115 1775638319.612000
219 115 1775638319.628000

STROKE 4
222 148 1775638320.584000
218 148 1775638320.794000
218 146 1775638320.810000
218 145 1775638320.827000

