STROKE 1
146 172 1775889348.606000
139 172 1775889348.649000
136 172 1775889348.665000
133 172 1775889348.682000
130 172 1775889348.699000
129 167 1775889348.715000
128 159 1775889348.732000
128 152 1775889348.748000
132 146 1775889348.765000
137 142 1775889348.782000
144 141 1775889348.798000
150 140 1775889348.815000
155 140 1775889348.831000
158 140 1775889348.848000
160 143 1775889348.865000
162 146 1775889348.881000
163 149 1775889348.898000
163 153 1775889348.915000
163 156 1775889348.931000
163 160 1775889348.948000
160 164 1775889348.965000
158 166 1775889348.981000
155 169 1775889348.998000
151 171 1775889349.015000
148 172 1775889349.031000
145 172 1775889349.048000
143 172 1775889349.064000

STROKE 2
166 159 1775889349.471000
169 148 1775889349.497000
170 144 1775889349.514000
174 142 1775889349.530000
180 140 1775889349.547000
186 140 1775889349.564000
193 140 1775889349.580000
198 140 1775889349.597000
202 144 1775889349.614000
202 149 1775889349.630000
202 154 1775889349.647000
202 159 1775889349.664000
201 164 1775889349.680000
200 168 1775889349.697000
198 172 1775889349.714000

STROKE 3
197 136 1775889349.937000
192 137 1775889350.013000
188 137 1775889350.031000
185 138 1775889350.047000
181 138 1775889350.063000
178 136 1775889350.080000
176 130 1775889350.096000
176 124 1775889350.113000
177 118 1775889350.129000
182 114 1775889350.146000
189 112 1775889350.163000
196 112 1775889350.179000
200 112 1775889350.196000
203 114 1775889350.213000
203 119 1775889350.229000
203 125 1775889350.246000
202 130 1775889350.263000
198 135 1775889350.279000
195 140 1775889350.296000
193 142 1775889350.312000

STROKE 4
198 175 1775889350.670000
199 176 1775889350.746000
199 181 1775889350.763000
199 187 1775889350.779000
199 193 1775889350.795000
199 197 1775889350.812000
199 200 1775889350.829000
201 200 1775889350.845000
204 200 1775889350.862000
211 199 1775889350.879000
227 195 1775889350.895000
243 194 1775889350.912000
249 194 1775889350.928000

