STROKE 1
104 120 1775645026.595000
114 109 1775645026.640000
119 111 1775645026.657000
124 115 1775645026.673000
129 121 1775645026.690000
132 127 1775645026.707000
133 133 1775645026.723000
133 140 1775645026.740000
132 145 1775645026.757000
127 150 1775645026.773000
123 153 1775645026.790000
119 155 1775645026.807000
115 155 1775645026.823000
112 152 1775645026.840000
112 146 1775645026.857000
112 141 1775645026.873000
113 137 1775645026.890000
118 135 1775645026.906000
123 135 1775645026.923000
127 135 1775645026.940000
129 135 1775645026.956000
130 137 1775645026.973000
131 140 1775645026.990000
132 141 1775645027.006000
133 141 1775645027.023000
134 141 1775645027.040000
135 138 1775645027.056000
138 131 1775645027.073000
143 124 1775645027.090000
149 118 1775645027.106000
156 116 1775645027.123000
163 116 1775645027.139000
167 117 1775645027.156000
168 122 1775645027.173000
168 128 1775645027.189000
168 134 1775645027.206000
168 140 1775645027.222000
164 145 1775645027.239000
158 150 1775645027.256000
151 152 1775645027.272000
145 153 1775645027.289000
139 153 1775645027.306000
135 149 1775645027.322000
134 146 1775645027.339000
134 145 1775645027.356000

STROKE 2
198 159 1775645027.513000
191 151 1775645027.555000
188 148 1775645027.572000
186 143 1775645027.589000
186 137 1775645027.605000
186 130 1775645027.622000
190 125 1775645027.639000
196 122 1775645027.655000
201 122 1775645027.672000
206 122 1775645027.688000
209 124 1775645027.705000
210 129 1775645027.722000
211 134 1775645027.738000
211 138 1775645027.755000
211 140 1775645027.772000
211 141 1775645027.788000
213 140 1775645027.805000
217 133 1775645027.822000
223 125 1775645027.838000
230 121 1775645027.855000
237 120 1775645027.872000
243 120 1775645027.888000
247 125 1775645027.905000
248 133 1775645027.922000
248 141 1775645027.938000
248 148 1775645027.955000
247 154 1775645027.971000
245 158 1775645027.988000
243 159 1775645028.005000

STROKE 3
239 120 1775645028.146000
235 122 1775645028.188000
230 123 1775645028.204000
225 124 1775645028.221000
220 124 1775645028.238000
216 118 1775645028.254000
215 107 1775645028.271000
215 97 1775645028.288000
219 91 1775645028.304000
228 89 1775645028.321000
246 89 1775645028.337000
266 95 1775645028.354000

