STROKE 1
120 151 1775805628.738000
129 144 1775805628.798000
131 144 1775805628.814000
133 145 1775805628.831000
134 147 1775805628.847000
134 150 1775805628.863000
134 153 1775805628.880000
133 155 1775805628.897000
132 157 1775805628.914000
130 158 1775805628.930000
127 159 1775805628.947000
124 159 1775805628.963000
121 159 1775805628.980000
117 156 1775805628.996000
114 150 1775805629.013000
114 144 1775805629.030000
114 137 1775805629.046000
117 133 1775805629.063000
122 130 1775805629.080000
125 130 1775805629.096000
128 130 1775805629.113000
133 132 1775805629.130000

STROKE 2
157 153 1775805629.339000
152 156 1775805629.513000
151 150 1775805629.529000
151 145 1775805629.546000
151 140 1775805629.563000
153 135 1775805629.579000
157 133 1775805629.596000
161 132 1775805629.612000
164 132 1775805629.629000
165 132 1775805629.646000
166 135 1775805629.662000
166 138 1775805629.679000
166 141 1775805629.695000
166 146 1775805629.712000
166 152 1775805629.729000
166 161 1775805629.745000
166 170 1775805629.762000
166 179 1775805629.778000
166 188 1775805629.795000
168 195 1775805629.812000
170 201 1775805629.829000
173 203 1775805629.845000
176 203 1775805629.862000
179 203 1775805629.879000
180 202 1775805629.895000
183 200 1775805629.912000

STROKE 3
169 159 1775805630.086000
170 147 1775805630.111000
171 144 1775805630.128000
173 142 1775805630.145000
176 140 1775805630.161000
179 139 1775805630.178000
183 138 1775805630.195000
187 138 1775805630.211000
190 138 1775805630.228000
191 141 1775805630.245000
191 145 1775805630.261000
191 149 1775805630.278000
191 153 1775805630.294000
190 156 1775805630.311000
189 157 1775805630.328000
189 159 1775805630.344000

STROKE 4
227 165 1775805630.552000
220 167 1775805630.628000
216 167 1775805630.645000
213 165 1775805630.661000
211 160 1775805630.677000
210 155 1775805630.694000
210 149 1775805630.711000
211 144 1775805630.727000
216 140 1775805630.744000
220 137 1775805630.761000
224 137 1775805630.777000
226 137 1775805630.794000
226 137 1775805630.810000
225 138 1775805630.844000
220 138 1775805630.860000
215 138 1775805630.877000
211 138 1775805630.893000
209 135 1775805630.910000
208 130 1775805630.927000
208 125 1775805630.943000
209 121 1775805630.960000
215 120 1775805630.977000
220 120 1775805630.993000
224 120 1775805631.010000
225 123 1775805631.027000
225 125 1775805631.043000

STROKE 5
242 149 1775805631.285000
243 149 1775805631.443000
242 149 1775805631.460000
241 146 1775805631.476000
241 143 1775805631.493000
241 142 1775805631.509000
243 142 1775805631.526000
244 145 1775805631.543000

STROKE 6
251 179 1775805631.766000
247 173 1775805631.959000
247 172 1775805631.976000
248 171 1775805631.992000
248 171 1775805632.009000
248 173 1775805632.025000

