STROKE 1
140 119 1775798366.756000
134 127 1775798366.816000
134 135 1775798366.832000
134 141 1775798366.849000
135 148 1775798366.865000
140 152 1775798366.882000
146 156 1775798366.898000
153 157 1775798366.915000
159 158 1775798366.932000
165 158 1775798366.949000
168 156 1775798366.965000
171 151 1775798366.982000
172 145 1775798366.998000
172 138 1775798367.015000
172 130 1775798367.032000
172 123 1775798367.048000
170 118 1775798367.065000
168 116 1775798367.081000
167 116 1775798367.098000
167 116 1775798367.115000

STROKE 2
215 122 1775798367.322000
204 121 1775798367.398000
204 123 1775798367.415000
204 126 1775798367.431000
204 128 1775798367.448000
204 132 1775798367.465000
206 135 1775798367.481000
208 139 1775798367.498000
209 142 1775798367.515000
209 146 1775798367.531000
209 149 1775798367.548000
206 151 1775798367.564000
201 153 1775798367.581000
196 153 1775798367.597000
191 153 1775798367.614000
189 151 1775798367.631000
188 148 1775798367.647000
188 146 1775798367.664000
188 145 1775798367.681000
190 144 1775798367.697000
193 144 1775798367.714000
196 145 1775798367.731000
199 149 1775798367.747000
202 157 1775798367.764000
203 168 1775798367.780000
205 182 1775798367.797000
206 195 1775798367.814000
208 206 1775798367.830000
210 214 1775798367.847000
211 220 1775798367.864000
211 222 1775798367.880000
212 222 1775798367.897000

STROKE 3
221 114 1775798368.070000
215 116 1775798368.113000
211 118 1775798368.130000
205 120 1775798368.147000
200 120 1775798368.163000
195 118 1775798368.180000
193 109 1775798368.197000
193 99 1775798368.213000
195 91 1775798368.230000
202 85 1775798368.247000
211 83 1775798368.263000
227 83 1775798368.280000
245 88 1775798368.296000

