STROKE 1
114 169 1775645180.545000
125 165 1775645180.604000
128 165 1775645180.620000
130 169 1775645180.637000
130 175 1775645180.654000
127 180 1775645180.670000
120 182 1775645180.687000
113 182 1775645180.704000
109 178 1775645180.720000
106 170 1775645180.736000
105 160 1775645180.753000
105 149 1775645180.770000
109 140 1775645180.787000
115 133 1775645180.803000
121 130 1775645180.820000
129 130 1775645180.836000
139 133 1775645180.853000

STROKE 2
148 176 1775645181.010000
146 165 1775645181.053000
146 160 1775645181.069000
146 154 1775645181.086000
150 148 1775645181.103000
155 144 1775645181.119000
160 142 1775645181.136000
164 142 1775645181.152000
166 143 1775645181.169000
167 149 1775645181.186000
168 155 1775645181.202000
168 161 1775645181.219000
168 164 1775645181.236000
168 166 1775645181.252000
168 163 1775645181.286000
169 153 1775645181.303000
173 145 1775645181.319000
179 139 1775645181.336000
184 138 1775645181.352000
188 138 1775645181.369000
189 142 1775645181.386000
190 149 1775645181.402000
190 157 1775645181.419000
190 163 1775645181.435000
189 168 1775645181.452000
187 171 1775645181.469000

STROKE 3
213 146 1775645184.622000
213 149 1775645184.698000
213 155 1775645184.714000
213 163 1775645184.731000
213 170 1775645184.748000
213 176 1775645184.764000
212 182 1775645184.781000
210 187 1775645184.797000
207 191 1775645184.814000
203 193 1775645184.831000
199 193 1775645184.847000
196 193 1775645184.864000
192 193 1775645184.880000
189 193 1775645184.897000
188 190 1775645184.913000
188 186 1775645184.930000
188 181 1775645184.947000
188 178 1775645184.963000

STROKE 4
221 164 1775645185.471000
225 151 1775645185.496000
226 146 1775645185.513000
231 143 1775645185.529000
237 141 1775645185.546000
242 140 1775645185.563000
246 140 1775645185.580000
249 140 1775645185.596000
250 144 1775645185.613000
250 149 1775645185.629000
250 154 1775645185.646000
250 159 1775645185.663000
250 163 1775645185.679000
249 165 1775645185.696000
248 165 1775645185.712000

STROKE 5
288 157 1775645185.836000
281 160 1775645185.913000
275 160 1775645185.930000
270 156 1775645185.946000
266 151 1775645185.962000
265 145 1775645185.979000
265 140 1775645185.996000
266 137 1775645186.012000
271 134 1775645186.029000
275 134 1775645186.046000
278 134 1775645186.062000
279 134 1775645186.079000
279 134 1775645186.112000
276 134 1775645186.129000
273 134 1775645186.145000
268 130 1775645186.162000
265 123 1775645186.179000
264 116 1775645186.195000
264 110 1775645186.212000
267 106 1775645186.228000
274 105 1775645186.245000
280 105 1775645186.262000

STROKE 6
297 147 1775645186.435000
296 139 1775645186.612000
297 138 1775645186.628000
298 138 1775645186.644000

STROKE 7
299 169 1775645187.517000
301 173 1775645187.877000
301 172 1775645187.893000

