STROKE 1
161 207 1775892229.931000
158 192 1775892229.972000
158 185 1775892229.989000
164 177 1775892230.005000
173 171 1775892230.023000
185 167 1775892230.039000
195 166 1775892230.055000
201 166 1775892230.072000
203 168 1775892230.089000
203 172 1775892230.105000
203 178 1775892230.122000
203 185 1775892230.139000
203 193 1775892230.155000
202 199 1775892230.172000
201 202 1775892230.189000

STROKE 2
181 149 1775892230.414000
178 132 1775892230.426000
178 123 1775892230.438000
181 119 1775892230.455000
187 118 1775892230.471000
199 118 1775892230.488000
216 118 1775892230.505000
227 119 1775892230.521000
233 124 1775892230.538000
234 131 1775892230.554000
234 141 1775892230.571000
234 150 1775892230.588000
232 161 1775892230.604000
231 172 1775892230.621000
230 181 1775892230.638000
229 190 1775892230.654000
229 196 1775892230.671000
229 201 1775892230.688000
232 207 1775892230.705000

