STROKE 1
134 146 1775579447.605000
132 151 1775579447.681000
132 154 1775579447.698000
131 158 1775579447.714000
129 161 1775579447.731000
126 164 1775579447.747000
123 167 1775579447.764000
120 168 1775579447.781000
116 169 1775579447.797000
111 170 1775579447.814000
107 170 1775579447.831000
103 170 1775579447.847000
98 168 1775579447.864000
94 165 1775579447.880000
90 161 1775579447.897000
87 157 1775579447.914000
84 153 1775579447.930000
81 149 1775579447.947000
80 143 1775579447.964000
80 137 1775579447.980000
80 131 1775579447.997000
80 125 1775579448.014000
81 119 1775579448.030000
83 114 1775579448.047000
87 109 1775579448.063000
91 105 1775579448.080000
96 101 1775579448.097000
100 97 1775579448.114000
104 95 1775579448.130000
107 94 1775579448.147000
110 94 1775579448.163000
113 94 1775579448.180000
116 94 1775579448.197000
119 95 1775579448.213000
122 98 1775579448.230000
125 100 1775579448.247000
128 102 1775579448.263000
131 105 1775579448.280000
134 107 1775579448.297000
137 110 1775579448.313000
140 113 1775579448.330000
143 116 1775579448.346000
145 118 1775579448.363000
147 122 1775579448.380000
147 125 1775579448.396000
148 128 1775579448.413000
148 132 1775579448.430000
149 135 1775579448.446000
149 138 1775579448.463000
150 141 1775579448.480000
150 144 1775579448.496000
150 146 1775579448.513000
150 149 1775579448.530000
149 152 1775579448.546000
148 153 1775579448.563000

STROKE 2
147 135 1775579449.219000
142 142 1775579449.279000
142 145 1775579449.295000
140 148 1775579449.312000
138 151 1775579449.329000
135 154 1775579449.345000
133 155 1775579449.362000
132 156 1775579449.378000

STROKE 3
154 134 1775579449.818000
147 125 1775579449.861000
149 119 1775579449.878000
154 112 1775579449.894000
161 105 1775579449.911000
169 99 1775579449.928000
178 94 1775579449.944000
185 91 1775579449.961000
192 90 1775579449.978000
197 90 1775579449.994000
202 91 1775579450.011000
206 95 1775579450.027000
209 99 1775579450.044000
212 105 1775579450.061000
214 111 1775579450.077000
216 117 1775579450.094000
218 122 1775579450.110000
220 127 1775579450.127000
220 132 1775579450.144000
220 135 1775579450.160000
220 138 1775579450.177000
220 141 1775579450.194000
218 142 1775579450.210000
216 143 1775579450.227000
213 145 1775579450.244000
210 146 1775579450.260000
209 147 1775579450.277000

STROKE 4
199 83 1775579450.700000
189 89 1775579450.743000
182 91 1775579450.759000
176 92 1775579450.776000
169 92 1775579450.793000
162 92 1775579450.809000
157 88 1775579450.826000
152 82 1775579450.843000
150 76 1775579450.859000
150 69 1775579450.876000
150 63 1775579450.893000
150 57 1775579450.909000
156 52 1775579450.926000
162 47 1775579450.942000
169 43 1775579450.959000
175 40 1775579450.976000
181 40 1775579450.992000
185 40 1775579451.009000
190 40 1775579451.026000
195 42 1775579451.042000
199 46 1775579451.059000
204 52 1775579451.075000
208 57 1775579451.092000
212 64 1775579451.109000
214 70 1775579451.125000
216 77 1775579451.142000
216 83 1775579451.159000
216 89 1775579451.175000
216 93 1775579451.192000
215 95 1775579451.209000

STROKE 5
209 152 1775579451.665000
206 158 1775579451.759000
207 163 1775579451.775000
208 168 1775579451.791000
210 174 1775579451.808000
211 180 1775579451.825000
212 187 1775579451.841000
213 193 1775579451.858000
214 199 1775579451.875000
215 204 1775579451.891000
215 210 1775579451.908000
215 214 1775579451.924000
215 218 1775579451.941000
215 221 1775579451.957000
215 223 1775579451.974000
215 223 1775579451.991000
215 224 1775579452.007000
215 224 1775579452.024000
215 224 1775579452.057000
215 225 1775579452.074000
218 225 1775579452.091000
222 225 1775579452.108000
227 225 1775579452.124000
234 225 1775579452.141000
241 224 1775579452.157000
245 223 1775579452.174000

STROKE 6
243 172 1775579452.514000
246 164 1775579452.557000
251 164 1775579452.574000
255 164 1775579452.590000
258 165 1775579452.607000
259 170 1775579452.623000
260 174 1775579452.640000
260 179 1775579452.657000
257 182 1775579452.673000
252 183 1775579452.690000
249 183 1775579452.707000
246 181 1775579452.723000
246 179 1775579452.740000

