STROKE 1
134 155 1775580318.757000
145 148 1775580318.782000
150 148 1775580318.799000
153 148 1775580318.815000
155 149 1775580318.832000
155 153 1775580318.849000
155 160 1775580318.865000
150 165 1775580318.882000
145 169 1775580318.899000
139 170 1775580318.916000
134 170 1775580318.932000
129 167 1775580318.949000
125 161 1775580318.965000
122 153 1775580318.982000
121 145 1775580318.998000
120 138 1775580319.015000
120 132 1775580319.032000
125 128 1775580319.048000
132 126 1775580319.065000
141 126 1775580319.082000
150 126 1775580319.098000
156 127 1775580319.115000

STROKE 2
165 130 1775580319.306000
165 125 1775580319.348000
170 125 1775580319.365000
174 125 1775580319.381000
179 129 1775580319.398000
183 133 1775580319.415000
186 138 1775580319.431000
187 143 1775580319.448000
187 146 1775580319.464000
187 147 1775580319.481000
187 148 1775580319.498000
188 148 1775580319.531000
190 148 1775580319.547000
194 150 1775580319.564000
196 152 1775580319.581000
198 155 1775580319.597000
198 159 1775580319.614000
198 164 1775580319.631000
196 168 1775580319.647000
192 171 1775580319.664000
188 172 1775580319.681000
185 172 1775580319.697000
184 172 1775580319.714000
184 170 1775580319.731000
189 162 1775580319.747000
195 158 1775580319.764000

STROKE 3
189 139 1775580322.718000
191 127 1775580322.743000
196 123 1775580322.760000
201 120 1775580322.776000
207 117 1775580322.793000
213 116 1775580322.809000
219 116 1775580322.826000
224 116 1775580322.843000
227 116 1775580322.860000
230 120 1775580322.876000
230 125 1775580322.893000
230 132 1775580322.909000
230 137 1775580322.926000
230 142 1775580322.943000
230 145 1775580322.959000
230 147 1775580322.976000
230 148 1775580322.993000

STROKE 4
228 125 1775580324.881000
231 114 1775580324.940000
232 112 1775580324.957000
235 111 1775580324.973000
239 110 1775580324.990000
243 110 1775580325.007000
247 110 1775580325.024000
250 111 1775580325.040000
252 116 1775580325.057000
253 121 1775580325.073000
254 128 1775580325.090000
254 135 1775580325.106000
254 142 1775580325.123000
254 149 1775580325.140000
254 153 1775580325.156000
256 155 1775580325.173000

STROKE 5
302 150 1775580325.592000
288 156 1775580325.622000
281 157 1775580325.639000
275 157 1775580325.655000
270 157 1775580325.673000
265 155 1775580325.689000
263 148 1775580325.706000
263 140 1775580325.722000
264 131 1775580325.739000
268 124 1775580325.756000
273 120 1775580325.772000
279 118 1775580325.789000
284 116 1775580325.805000
289 115 1775580325.822000
292 114 1775580325.838000

STROKE 6
286 115 1775580326.114000
277 118 1775580326.138000
271 118 1775580326.155000
265 118 1775580326.172000
260 116 1775580326.188000
257 110 1775580326.205000
256 102 1775580326.221000
257 94 1775580326.239000
262 87 1775580326.255000
267 83 1775580326.271000
273 82 1775580326.288000
280 81 1775580326.305000
287 81 1775580326.321000
296 82 1775580326.338000

