STROKE 1
170 155 1775645256.946000
161 165 1775645256.988000
155 168 1775645257.005000
148 170 1775645257.022000
141 170 1775645257.039000
135 168 1775645257.055000
132 160 1775645257.072000
131 151 1775645257.088000
131 144 1775645257.105000
132 139 1775645257.122000
137 135 1775645257.139000
142 134 1775645257.155000
147 133 1775645257.171000
150 133 1775645257.188000
152 133 1775645257.205000
154 136 1775645257.221000
156 140 1775645257.238000
157 145 1775645257.255000
157 152 1775645257.271000
157 158 1775645257.288000
157 163 1775645257.304000
157 166 1775645257.321000
157 168 1775645257.338000
157 169 1775645257.354000
157 168 1775645257.388000
158 162 1775645257.405000
159 154 1775645257.421000
162 146 1775645257.438000
166 138 1775645257.454000
170 132 1775645257.471000
175 127 1775645257.488000
181 125 1775645257.504000
186 125 1775645257.521000
190 125 1775645257.538000
192 129 1775645257.554000
193 134 1775645257.571000
193 139 1775645257.588000
193 144 1775645257.604000
193 150 1775645257.621000
190 155 1775645257.638000
185 159 1775645257.654000
180 162 1775645257.671000
173 163 1775645257.687000
166 163 1775645257.704000
161 162 1775645257.721000
158 159 1775645257.737000
157 158 1775645257.754000

STROKE 2
230 164 1775645257.928000
220 162 1775645257.970000
217 162 1775645257.987000
213 159 1775645258.004000
211 154 1775645258.020000
210 147 1775645258.037000
210 140 1775645258.054000
210 134 1775645258.070000
213 130 1775645258.087000
218 129 1775645258.103000
223 128 1775645258.120000
228 128 1775645258.137000
230 128 1775645258.153000
230 128 1775645258.170000
230 127 1775645258.186000
228 125 1775645258.203000
222 122 1775645258.220000
217 118 1775645258.237000
213 114 1775645258.253000
211 108 1775645258.270000
211 103 1775645258.286000
214 99 1775645258.303000
225 98 1775645258.320000
248 98 1775645258.336000

