STROKE 1
163 165 1775579491.550000
154 175 1775579491.572000
150 183 1775579491.589000
147 192 1775579491.606000
146 203 1775579491.623000
146 216 1775579491.639000
147 227 1775579491.656000
150 235 1775579491.673000
156 242 1775579491.689000
162 245 1775579491.706000
171 245 1775579491.723000
181 245 1775579491.739000
190 242 1775579491.756000
198 237 1775579491.773000
207 231 1775579491.790000
213 224 1775579491.807000
216 218 1775579491.822000
217 212 1775579491.839000
217 205 1775579491.856000
217 199 1775579491.873000
215 192 1775579491.890000
211 187 1775579491.906000
206 184 1775579491.922000
199 183 1775579491.939000
192 183 1775579491.956000
187 184 1775579491.972000
183 187 1775579491.989000
180 192 1775579492.006000
177 198 1775579492.022000
175 207 1775579492.039000
174 216 1775579492.056000
173 225 1775579492.072000
173 233 1775579492.089000
173 241 1775579492.106000
173 249 1775579492.122000
173 256 1775579492.139000
173 262 1775579492.156000
172 267 1775579492.173000
170 272 1775579492.189000
166 275 1775579492.205000
160 277 1775579492.222000
155 277 1775579492.239000
149 277 1775579492.256000
142 277 1775579492.272000
135 276 1775579492.289000
128 271 1775579492.306000
123 264 1775579492.322000
119 254 1775579492.339000
118 243 1775579492.356000
117 231 1775579492.372000
117 220 1775579492.389000
117 210 1775579492.406000
118 199 1775579492.422000
121 190 1775579492.439000
125 182 1775579492.456000
130 173 1775579492.472000
135 165 1775579492.489000
139 156 1775579492.506000
144 147 1775579492.522000
148 139 1775579492.539000
152 132 1775579492.556000
155 127 1775579492.572000
157 124 1775579492.589000
159 122 1775579492.605000
162 119 1775579492.622000
166 116 1775579492.639000
170 113 1775579492.656000
174 110 1775579492.672000
178 107 1775579492.689000
181 105 1775579492.706000
185 104 1775579492.722000
189 103 1775579492.739000
191 103 1775579492.756000
194 103 1775579492.772000
196 103 1775579492.789000
200 104 1775579492.806000
206 109 1775579492.822000
219 119 1775579492.839000

STROKE 2
244 201 1775579493.282000
252 194 1775579493.305000
260 194 1775579493.322000
269 194 1775579493.340000
277 195 1775579493.357000
285 198 1775579493.373000
290 202 1775579493.390000
293 208 1775579493.406000
294 214 1775579493.422000
294 223 1775579493.439000
288 231 1775579493.456000
282 237 1775579493.472000
275 243 1775579493.489000
269 246 1775579493.506000
260 249 1775579493.523000
251 251 1775579493.540000
242 252 1775579493.556000
234 252 1775579493.573000
229 252 1775579493.589000
225 251 1775579493.606000
221 248 1775579493.622000
219 243 1775579493.639000
217 236 1775579493.656000
217 229 1775579493.672000
217 222 1775579493.689000
217 214 1775579493.706000
220 205 1775579493.722000
226 195 1775579493.739000
233 188 1775579493.756000
239 185 1775579493.772000
243 185 1775579493.789000
245 185 1775579493.806000
246 188 1775579493.822000
247 194 1775579493.839000
247 203 1775579493.856000
247 212 1775579493.872000
246 220 1775579493.889000
244 227 1775579493.906000
243 231 1775579493.922000
243 234 1775579493.939000
242 235 1775579493.956000
241 235 1775579493.972000
240 236 1775579493.989000

STROKE 3
264 199 1775579494.233000
266 188 1775579494.273000
266 182 1775579494.290000
266 173 1775579494.306000
265 163 1775579494.323000
264 153 1775579494.340000
264 142 1775579494.356000
264 133 1775579494.373000
268 125 1775579494.389000
272 122 1775579494.406000
277 121 1775579494.422000
282 121 1775579494.439000
289 125 1775579494.456000
297 130 1775579494.472000
307 137 1775579494.490000
315 146 1775579494.506000
319 151 1775579494.522000

