STROKE 1
192 160 1775662081.665000
189 166 1775662081.706000
185 170 1775662081.723000
181 172 1775662081.739000
177 174 1775662081.756000
173 174 1775662081.773000
170 172 1775662081.790000
168 164 1775662081.806000
167 156 1775662081.823000
169 147 1775662081.839000
175 140 1775662081.856000
181 136 1775662081.872000
187 134 1775662081.889000
192 134 1775662081.906000
195 139 1775662081.922000
195 146 1775662081.939000
195 155 1775662081.955000
194 163 1775662081.972000
191 172 1775662081.989000

STROKE 2
189 121 1775662082.281000
186 107 1775662082.294000
186 97 1775662082.305000
189 92 1775662082.322000
196 88 1775662082.339000
203 87 1775662082.355000
210 87 1775662082.372000
215 87 1775662082.389000
218 91 1775662082.405000
220 98 1775662082.422000
220 107 1775662082.438000
220 117 1775662082.455000
220 126 1775662082.471000
220 134 1775662082.488000
220 141 1775662082.505000
220 147 1775662082.521000
220 150 1775662082.538000
220 152 1775662082.555000
220 153 1775662082.571000

