STROKE 1
146 173 1775890693.495000
138 168 1775890693.554000
136 164 1775890693.571000
136 158 1775890693.588000
136 151 1775890693.604000
138 146 1775890693.621000
142 142 1775890693.637000
145 141 1775890693.654000
149 140 1775890693.671000
152 140 1775890693.687000
155 140 1775890693.704000
157 140 1775890693.720000
158 141 1775890693.737000
159 143 1775890693.754000
161 147 1775890693.770000
163 151 1775890693.787000
165 154 1775890693.803000
166 157 1775890693.820000
166 159 1775890693.837000
167 160 1775890693.854000
167 160 1775890693.870000
167 159 1775890693.903000
167 154 1775890693.920000
169 149 1775890693.937000
173 144 1775890693.953000
179 140 1775890693.970000
185 137 1775890693.987000
192 136 1775890694.003000
197 136 1775890694.020000
202 138 1775890694.037000
204 142 1775890694.053000
205 146 1775890694.070000
205 151 1775890694.086000
205 156 1775890694.103000
205 161 1775890694.119000
204 165 1775890694.136000
201 169 1775890694.153000
199 171 1775890694.170000
198 172 1775890694.186000

STROKE 2
189 136 1775890697.290000
184 139 1775890697.416000
181 136 1775890697.433000
179 131 1775890697.448000
179 124 1775890697.465000
180 117 1775890697.482000
186 111 1775890697.498000
194 107 1775890697.515000
201 106 1775890697.532000
207 106 1775890697.549000
211 106 1775890697.565000
213 108 1775890697.582000
213 112 1775890697.598000
213 117 1775890697.615000
213 122 1775890697.632000
212 126 1775890697.648000
209 130 1775890697.665000
206 133 1775890697.681000
202 136 1775890697.698000

STROKE 3
190 180 1775890698.122000
190 179 1775890698.197000
190 183 1775890698.213000
190 188 1775890698.230000
190 195 1775890698.246000
190 200 1775890698.263000
190 204 1775890698.280000
190 207 1775890698.296000
192 208 1775890698.313000
196 208 1775890698.330000
204 208 1775890698.346000
214 206 1775890698.363000

STROKE 4
234 146 1775890698.671000
234 141 1775890698.930000
233 141 1775890698.947000
232 141 1775890698.963000
231 141 1775890698.980000
231 141 1775890699.014000

STROKE 5
225 172 1775890700.235000
234 171 1775890700.512000
233 171 1775890700.528000
232 171 1775890700.544000
232 171 1775890700.561000

