STROKE 1
156 183 1775711441.293000
148 175 1775711441.337000
145 172 1775711441.353000
144 168 1775711441.370000
144 163 1775711441.387000
144 158 1775711441.403000
150 153 1775711441.420000
156 150 1775711441.437000
161 149 1775711441.453000
166 149 1775711441.470000
169 150 1775711441.486000
171 153 1775711441.503000
173 157 1775711441.520000
175 161 1775711441.536000
178 165 1775711441.553000
181 169 1775711441.570000
183 172 1775711441.586000
187 175 1775711441.603000
191 175 1775711441.620000
196 175 1775711441.636000
200 175 1775711441.653000
204 171 1775711441.670000
206 165 1775711441.686000
206 158 1775711441.703000
206 153 1775711441.719000
206 150 1775711441.736000
204 149 1775711441.753000
203 149 1775711441.769000
202 149 1775711441.786000

STROKE 2
208 141 1775711441.959000
202 142 1775711442.019000
199 144 1775711442.036000
196 144 1775711442.053000
192 144 1775711442.069000
187 141 1775711442.086000
184 133 1775711442.102000
183 125 1775711442.119000
183 118 1775711442.136000
189 112 1775711442.152000
198 110 1775711442.169000
207 110 1775711442.185000
213 110 1775711442.202000
216 115 1775711442.219000
216 121 1775711442.235000
216 127 1775711442.252000
215 134 1775711442.269000
212 139 1775711442.286000
207 143 1775711442.302000
204 146 1775711442.319000
201 147 1775711442.335000

