STROKE 1
111 150 1775794819.398000
104 147 1775794819.457000
104 142 1775794819.473000
104 136 1775794819.490000
107 128 1775794819.507000
112 121 1775794819.523000
116 118 1775794819.540000
120 118 1775794819.556000
122 118 1775794819.573000
124 119 1775794819.590000
125 122 1775794819.606000
125 125 1775794819.623000
126 128 1775794819.639000
126 130 1775794819.656000
126 131 1775794819.673000
126 131 1775794819.706000
129 127 1775794819.723000
135 122 1775794819.739000
141 118 1775794819.756000
146 117 1775794819.773000
149 117 1775794819.789000
150 118 1775794819.806000
151 123 1775794819.822000
151 129 1775794819.839000
151 134 1775794819.856000
151 139 1775794819.872000
151 141 1775794819.889000
151 142 1775794819.906000
151 143 1775794819.922000

STROKE 2
170 119 1775794820.080000
162 126 1775794820.139000
162 132 1775794820.156000
165 138 1775794820.172000
170 143 1775794820.189000
174 145 1775794820.205000
178 146 1775794820.222000
181 146 1775794820.239000
183 142 1775794820.256000
184 137 1775794820.272000
184 132 1775794820.289000
184 129 1775794820.305000
184 127 1775794820.322000

STROKE 3
207 122 1775794820.546000
213 124 1775794820.605000
213 129 1775794820.621000
213 134 1775794820.639000
213 139 1775794820.655000
213 143 1775794820.671000
211 147 1775794820.688000
207 148 1775794820.705000
204 148 1775794820.721000
199 148 1775794820.738000
196 146 1775794820.754000
194 144 1775794820.771000

STROKE 4
219 121 1775794820.995000
212 118 1775794821.037000
208 118 1775794821.054000
205 114 1775794821.071000
202 108 1775794821.087000
201 100 1775794821.104000
201 93 1775794821.120000
204 89 1775794821.137000
214 88 1775794821.154000
232 89 1775794821.171000
241 94 1775794821.187000

