STROKE 1
171 113 1775644059.013000
177 116 1775644059.055000
177 121 1775644059.072000
177 126 1775644059.089000
175 130 1775644059.106000
172 131 1775644059.122000
167 131 1775644059.139000
163 128 1775644059.155000
160 122 1775644059.172000
159 115 1775644059.189000
159 108 1775644059.205000
161 103 1775644059.222000
167 100 1775644059.239000
174 99 1775644059.255000
180 99 1775644059.272000
185 99 1775644059.288000
189 100 1775644059.305000
190 103 1775644059.322000
190 108 1775644059.338000
190 114 1775644059.355000
190 121 1775644059.372000
190 130 1775644059.388000
190 139 1775644059.405000
190 150 1775644059.422000
190 160 1775644059.438000
190 169 1775644059.455000
191 175 1775644059.472000
193 180 1775644059.488000
195 182 1775644059.505000
198 183 1775644059.521000
203 183 1775644059.538000
206 183 1775644059.554000

STROKE 2
164 92 1775644059.779000
154 91 1775644059.838000
150 91 1775644059.854000
148 90 1775644059.871000
148 84 1775644059.888000
148 72 1775644059.904000
155 61 1775644059.921000
164 52 1775644059.937000
173 48 1775644059.954000
180 47 1775644059.971000
186 48 1775644059.987000
189 54 1775644060.004000
191 62 1775644060.020000
191 69 1775644060.037000
191 76 1775644060.054000
190 83 1775644060.071000
185 88 1775644060.087000
178 92 1775644060.104000
171 94 1775644060.120000
164 95 1775644060.137000
159 95 1775644060.154000
157 94 1775644060.170000
156 89 1775644060.187000
156 85 1775644060.204000
159 82 1775644060.220000
166 82 1775644060.237000
175 82 1775644060.253000
183 86 1775644060.270000

