STROKE 1
169 162 1775709644.974000
161 168 1775709645.039000
158 172 1775709645.056000
153 175 1775709645.073000
147 176 1775709645.090000
142 176 1775709645.106000
136 174 1775709645.123000
133 167 1775709645.140000
133 159 1775709645.156000
133 151 1775709645.173000
139 144 1775709645.190000
145 140 1775709645.206000
151 138 1775709645.223000
155 138 1775709645.239000
159 138 1775709645.256000
164 141 1775709645.273000
166 147 1775709645.289000
168 153 1775709645.306000
168 158 1775709645.322000
168 163 1775709645.339000
168 166 1775709645.356000
168 168 1775709645.372000

STROKE 2
167 163 1775709647.243000
171 152 1775709647.269000
173 146 1775709647.286000
177 141 1775709647.303000
182 137 1775709647.320000
191 135 1775709647.336000
201 135 1775709647.353000
208 135 1775709647.370000
212 137 1775709647.386000
212 142 1775709647.403000
212 149 1775709647.419000
212 158 1775709647.436000
210 165 1775709647.453000
209 171 1775709647.469000
208 173 1775709647.486000

STROKE 3
208 135 1775709647.775000
202 134 1775709647.819000
197 134 1775709647.836000
193 134 1775709647.853000
189 134 1775709647.869000
187 130 1775709647.886000
187 122 1775709647.902000
189 112 1775709647.919000
196 104 1775709647.935000
204 98 1775709647.952000
211 97 1775709647.969000
214 97 1775709647.985000
216 100 1775709648.002000
216 107 1775709648.019000
216 113 1775709648.035000
214 119 1775709648.052000
212 124 1775709648.069000
211 126 1775709648.085000

STROKE 4
206 171 1775709648.408000
205 177 1775709648.468000
205 185 1775709648.485000
205 193 1775709648.501000
205 200 1775709648.518000
207 206 1775709648.535000
210 209 1775709648.551000
216 209 1775709648.568000
224 208 1775709648.584000
234 203 1775709648.601000
239 201 1775709648.618000

STROKE 5
259 165 1775709648.790000
251 164 1775709648.817000
243 164 1775709648.834000
237 164 1775709648.851000
233 160 1775709648.867000
231 155 1775709648.884000
231 149 1775709648.900000
235 141 1775709648.917000
242 132 1775709648.934000
249 126 1775709648.950000
254 123 1775709648.967000
256 123 1775709648.984000
253 123 1775709649.034000
249 123 1775709649.050000
245 123 1775709649.067000
243 118 1775709649.084000
241 111 1775709649.100000
241 105 1775709649.117000
245 101 1775709649.133000
257 101 1775709649.150000

STROKE 6
212 128 1775709652.785000
211 131 1775709652.879000
211 134 1775709652.895000

