STROKE 1
132 164 1775645075.525000
127 156 1775645075.635000
128 148 1775645075.651000
131 141 1775645075.668000
135 135 1775645075.685000
139 132 1775645075.701000
143 131 1775645075.718000
147 131 1775645075.734000
150 131 1775645075.751000
152 132 1775645075.767000
153 136 1775645075.784000
154 139 1775645075.801000
155 142 1775645075.817000
155 145 1775645075.834000
155 147 1775645075.851000
155 148 1775645075.867000
156 147 1775645075.918000
158 143 1775645075.934000
163 139 1775645075.950000
168 135 1775645075.967000
174 133 1775645075.984000
180 133 1775645076.001000
184 133 1775645076.017000
187 135 1775645076.034000
188 140 1775645076.050000
188 144 1775645076.067000
188 148 1775645076.083000
188 152 1775645076.100000
188 155 1775645076.117000
186 158 1775645076.133000
184 160 1775645076.150000
182 162 1775645076.167000
181 163 1775645076.183000
179 163 1775645076.200000
179 163 1775645076.216000
179 163 1775645076.284000
179 167 1775645076.300000
179 173 1775645076.317000
179 181 1775645076.333000
179 188 1775645076.350000
180 194 1775645076.366000
182 199 1775645076.383000
186 201 1775645076.400000
189 202 1775645076.416000
193 202 1775645076.433000
196 202 1775645076.450000
201 201 1775645076.466000

STROKE 2
222 137 1775645076.640000
211 138 1775645076.799000
211 141 1775645076.816000
212 145 1775645076.833000
213 148 1775645076.849000
213 151 1775645076.866000
213 153 1775645076.882000
212 155 1775645076.899000
209 155 1775645076.916000
207 155 1775645076.932000
206 155 1775645076.949000
206 155 1775645076.966000
206 154 1775645076.982000
207 153 1775645076.999000
210 153 1775645077.016000
212 153 1775645077.032000
215 155 1775645077.049000
218 162 1775645077.065000
220 170 1775645077.082000
221 181 1775645077.099000
222 191 1775645077.115000
224 199 1775645077.132000
225 206 1775645077.148000
225 210 1775645077.165000
225 211 1775645077.182000

STROKE 3
224 129 1775645077.340000
218 133 1775645077.415000
217 133 1775645077.432000
215 133 1775645077.433000
212 133 1775645077.449000
209 125 1775645077.465000
209 117 1775645077.482000
209 110 1775645077.498000
212 106 1775645077.515000
220 105 1775645077.531000
237 107 1775645077.548000
255 115 1775645077.565000

