STROKE 1
132 155 1775645709.397000
141 145 1775645709.458000
144 146 1775645709.475000
147 149 1775645709.491000
148 153 1775645709.508000
148 156 1775645709.525000
148 159 1775645709.541000
144 161 1775645709.558000
139 162 1775645709.575000
134 162 1775645709.591000
130 160 1775645709.607000
127 154 1775645709.624000
127 148 1775645709.641000
127 141 1775645709.657000
130 134 1775645709.674000
136 130 1775645709.691000
142 129 1775645709.707000
148 129 1775645709.724000

STROKE 2
168 144 1775645709.899000
174 134 1775645709.957000
178 137 1775645709.974000
181 141 1775645709.990000
182 146 1775645710.007000
182 151 1775645710.024000
182 156 1775645710.041000
177 160 1775645710.057000
172 162 1775645710.074000
167 162 1775645710.091000
163 162 1775645710.107000
161 162 1775645710.123000
160 162 1775645710.140000

STROKE 3
196 143 1775645710.282000
204 142 1775645710.357000
205 146 1775645710.374000
205 151 1775645710.390000
203 156 1775645710.407000
196 159 1775645710.423000
189 161 1775645710.440000
183 161 1775645710.456000
178 161 1775645710.473000
175 161 1775645710.490000
175 159 1775645710.506000

STROKE 4
202 151 1775645710.648000
205 139 1775645710.672000
210 136 1775645710.689000
217 135 1775645710.706000
225 135 1775645710.723000
233 135 1775645710.739000
238 138 1775645710.756000
240 144 1775645710.772000
240 152 1775645710.789000
239 160 1775645710.806000
235 167 1775645710.822000
231 171 1775645710.839000

STROKE 5
232 138 1775645710.997000
221 137 1775645711.039000
215 137 1775645711.055000
210 137 1775645711.072000
207 137 1775645711.089000
206 129 1775645711.105000
208 120 1775645711.122000
217 114 1775645711.139000
229 111 1775645711.155000
244 112 1775645711.172000
255 118 1775645711.188000

