STROKE 1
184 169 1775905829.327000
173 172 1775905829.387000
169 172 1775905829.404000
164 172 1775905829.420000
160 171 1775905829.437000
157 166 1775905829.454000
156 160 1775905829.471000
156 153 1775905829.487000
160 148 1775905829.504000
166 146 1775905829.520000
174 145 1775905829.537000
182 145 1775905829.554000

STROKE 2
212 142 1775905829.729000
204 145 1775905829.821000
208 150 1775905829.837000
212 156 1775905829.853000
215 161 1775905829.870000
216 165 1775905829.887000
216 169 1775905829.903000
216 171 1775905829.920000
214 172 1775905829.937000
212 172 1775905829.953000
209 172 1775905829.970000
207 172 1775905829.987000
206 171 1775905830.003000
206 169 1775905830.020000
206 168 1775905830.036000
207 167 1775905830.053000
209 167 1775905830.070000
211 167 1775905830.086000
212 170 1775905830.103000
213 178 1775905830.120000
214 189 1775905830.136000
215 200 1775905830.153000
215 209 1775905830.169000
216 216 1775905830.186000
216 220 1775905830.203000
216 221 1775905830.219000

STROKE 3
220 137 1775905830.395000
214 138 1775905830.453000
210 138 1775905830.469000
208 136 1775905830.486000
206 133 1775905830.486000
203 124 1775905830.503000
203 114 1775905830.519000
203 106 1775905830.536000
209 101 1775905830.552000
217 101 1775905830.569000
229 106 1775905830.586000

STROKE 4
239 145 1775905830.811000
241 148 1775905830.985000
243 147 1775905831.002000
243 146 1775905831.019000
242 146 1775905831.069000
241 146 1775905831.085000
241 146 1775905831.102000
241 146 1775905831.152000

STROKE 5
243 175 1775905831.410000
243 170 1775905831.685000
241 170 1775905831.701000
240 170 1775905831.717000
240 169 1775905831.734000
239 169 1775905831.751000

