STROKE 1
117 147 1775805614.245000
118 143 1775805614.270000
119 143 1775805614.287000
122 143 1775805614.303000
125 143 1775805614.320000
126 143 1775805614.337000
127 144 1775805614.337000
128 145 1775805614.354000
128 147 1775805614.370000
128 149 1775805614.387000
128 151 1775805614.404000
125 152 1775805614.420000
122 153 1775805614.437000
117 153 1775805614.453000
113 153 1775805614.470000
108 150 1775805614.487000
104 144 1775805614.503000
103 137 1775805614.520000
103 129 1775805614.537000
104 124 1775805614.553000
109 120 1775805614.570000
115 119 1775805614.587000
119 119 1775805614.603000
122 119 1775805614.620000
124 121 1775805614.636000
127 123 1775805614.653000

STROKE 2
161 141 1775805616.907000
166 140 1775805617.001000
166 142 1775805617.016000
166 143 1775805617.033000
165 145 1775805617.050000
163 147 1775805617.066000
160 149 1775805617.083000
157 151 1775805617.100000
154 153 1775805617.116000
150 153 1775805617.133000
147 152 1775805617.149000
147 146 1775805617.166000
147 139 1775805617.182000
149 132 1775805617.199000
154 127 1775805617.216000
160 124 1775805617.232000
167 123 1775805617.249000
174 123 1775805617.266000
179 123 1775805617.282000
181 124 1775805617.299000
183 127 1775805617.315000
185 130 1775805617.332000
185 132 1775805617.349000
186 135 1775805617.365000
186 139 1775805617.382000
186 144 1775805617.399000
186 151 1775805617.415000
186 161 1775805617.432000
184 171 1775805617.449000
183 182 1775805617.465000
181 191 1775805617.482000
181 200 1775805617.499000
181 209 1775805617.515000
181 218 1775805617.532000
183 224 1775805617.548000
190 225 1775805617.565000
197 225 1775805617.582000
205 220 1775805617.599000

STROKE 3
187 146 1775805617.806000
189 137 1775805617.819000
189 131 1775805617.831000
192 127 1775805617.848000
196 126 1775805617.865000
201 125 1775805617.881000
207 124 1775805617.898000
213 124 1775805617.915000
218 124 1775805617.931000
220 127 1775805617.948000
220 133 1775805617.965000
220 138 1775805617.981000
220 144 1775805617.998000
219 149 1775805618.014000
218 153 1775805618.031000
217 156 1775805618.048000
216 159 1775805618.064000
215 162 1775805618.081000
215 164 1775805618.098000

STROKE 4
262 165 1775805618.288000
251 165 1775805618.348000
247 164 1775805618.365000
242 161 1775805618.381000
238 155 1775805618.398000
236 149 1775805618.414000
235 141 1775805618.431000
235 134 1775805618.447000
240 127 1775805618.464000
247 123 1775805618.481000
255 119 1775805618.497000
263 118 1775805618.514000
268 118 1775805618.530000
270 118 1775805618.547000
269 119 1775805618.580000
265 120 1775805618.597000
259 120 1775805618.614000
254 120 1775805618.630000
249 119 1775805618.647000
245 114 1775805618.664000
242 108 1775805618.680000
242 100 1775805618.697000
244 93 1775805618.713000
252 88 1775805618.730000
260 86 1775805618.747000
269 86 1775805618.763000
281 89 1775805618.780000
306 104 1775805618.796000

STROKE 5
287 143 1775805619.054000
286 141 1775805619.213000
287 139 1775805619.230000
289 138 1775805619.247000
291 138 1775805619.263000
291 138 1775805619.279000
291 138 1775805619.313000
289 138 1775805619.330000
287 138 1775805619.346000
287 138 1775805619.363000
287 139 1775805619.413000

STROKE 6
285 177 1775805619.669000
290 174 1775805619.929000
288 174 1775805619.946000
286 175 1775805619.962000
285 175 1775805619.979000
285 175 1775805619.995000
285 175 1775805620.029000

