STROKE 1
167 171 1775710742.324000
168 156 1775710742.351000
169 151 1775710742.368000
174 149 1775710742.384000
181 149 1775710742.401000
187 149 1775710742.417000
192 150 1775710742.434000
194 154 1775710742.451000
195 157 1775710742.468000
195 161 1775710742.484000
193 164 1775710742.501000
188 167 1775710742.517000
181 169 1775710742.534000
172 169 1775710742.551000
165 169 1775710742.567000
159 164 1775710742.584000
156 157 1775710742.600000
156 149 1775710742.617000
158 143 1775710742.634000
165 137 1775710742.651000
174 133 1775710742.667000
183 133 1775710742.684000
191 133 1775710742.700000

STROKE 2
231 163 1775710744.670000
226 162 1775710744.731000
221 162 1775710744.748000
216 161 1775710744.765000
211 156 1775710744.781000
208 151 1775710744.798000
208 145 1775710744.815000
208 139 1775710744.831000
211 134 1775710744.848000
217 131 1775710744.864000
224 130 1775710744.881000
229 130 1775710744.897000
235 131 1775710744.914000
238 136 1775710744.931000
240 142 1775710744.947000
241 148 1775710744.964000
241 153 1775710744.981000
241 158 1775710744.997000
238 161 1775710745.014000
235 163 1775710745.030000
232 165 1775710745.047000

