STROKE 1
145 171 1775579844.315000
137 166 1775579844.376000
136 162 1775579844.392000
135 155 1775579844.409000
135 146 1775579844.425000
139 136 1775579844.442000
145 129 1775579844.459000
150 125 1775579844.475000
155 123 1775579844.492000
159 123 1775579844.508000
163 123 1775579844.525000
167 128 1775579844.541000
171 135 1775579844.558000
174 143 1775579844.575000
178 151 1775579844.591000
182 159 1775579844.608000
185 164 1775579844.625000
189 168 1775579844.641000
193 170 1775579844.658000
198 170 1775579844.675000
203 170 1775579844.691000
208 166 1775579844.708000
212 160 1775579844.724000
214 153 1775579844.741000
215 146 1775579844.758000
215 139 1775579844.774000
215 132 1775579844.791000
215 126 1775579844.808000
214 122 1775579844.824000
210 119 1775579844.841000
205 118 1775579844.858000
202 117 1775579844.874000
202 117 1775579844.891000
203 117 1775579844.924000

STROKE 2
214 98 1775579845.748000
209 105 1775579845.823000
207 105 1775579845.840000
204 105 1775579845.840000
199 105 1775579845.856000
193 103 1775579845.873000
188 99 1775579845.890000
183 94 1775579845.906000
180 88 1775579845.923000
178 82 1775579845.940000
178 77 1775579845.956000
179 73 1775579845.973000
184 71 1775579845.989000
189 70 1775579846.006000
195 70 1775579846.022000
200 72 1775579846.039000
203 77 1775579846.056000
204 84 1775579846.072000
204 92 1775579846.089000
204 96 1775579846.106000

STROKE 3
202 179 1775579846.462000
205 188 1775579846.505000
206 194 1775579846.522000
207 201 1775579846.538000
208 207 1775579846.556000
208 213 1775579846.572000
209 218 1775579846.588000
209 222 1775579846.605000
210 224 1775579846.622000
211 224 1775579846.638000
213 224 1775579846.655000
217 220 1775579846.672000
223 215 1775579846.689000
227 212 1775579846.705000

STROKE 4
252 165 1775579846.962000
246 159 1775579846.987000
246 152 1775579847.004000
246 143 1775579847.021000
247 134 1775579847.038000
250 126 1775579847.054000
254 122 1775579847.071000
260 121 1775579847.088000
266 123 1775579847.104000
272 129 1775579847.121000
274 134 1775579847.138000
275 137 1775579847.155000
275 139 1775579847.171000
275 137 1775579847.204000
275 131 1775579847.221000
275 124 1775579847.238000
275 118 1775579847.254000
275 114 1775579847.271000
279 114 1775579847.287000
283 114 1775579847.304000
287 118 1775579847.321000
291 124 1775579847.337000
294 130 1775579847.354000
295 136 1775579847.370000
296 142 1775579847.387000
296 147 1775579847.404000
296 150 1775579847.420000
295 150 1775579847.437000

STROKE 5
280 107 1775579847.610000
267 110 1775579847.653000
264 106 1775579847.670000
261 98 1775579847.687000
261 87 1775579847.704000
261 75 1775579847.720000
262 67 1775579847.737000
271 64 1775579847.754000
285 64 1775579847.770000
301 65 1775579847.786000
316 71 1775579847.803000

