STROKE 1
156 139 1775638242.509000
152 149 1775638242.536000
151 155 1775638242.552000
147 158 1775638242.569000
143 161 1775638242.586000
139 162 1775638242.602000
134 162 1775638242.619000
128 161 1775638242.636000
122 156 1775638242.652000
118 149 1775638242.669000
115 142 1775638242.686000
114 135 1775638242.702000
114 130 1775638242.719000
116 127 1775638242.736000
121 125 1775638242.752000
127 125 1775638242.769000
135 125 1775638242.786000
143 129 1775638242.802000
149 135 1775638242.819000
152 141 1775638242.835000
153 147 1775638242.852000
153 153 1775638242.869000
153 158 1775638242.885000
152 161 1775638242.902000

STROKE 2
233 147 1775638243.158000
223 151 1775638243.185000
216 152 1775638243.202000
207 155 1775638243.218000
199 156 1775638243.235000
191 156 1775638243.252000
184 156 1775638243.268000
180 153 1775638243.285000
180 146 1775638243.302000
180 137 1775638243.318000
185 129 1775638243.335000
188 124 1775638243.352000
190 121 1775638243.368000
190 120 1775638243.385000
187 120 1775638243.435000
182 121 1775638243.452000
176 122 1775638243.468000
170 122 1775638243.485000
166 119 1775638243.501000
165 114 1775638243.518000
165 108 1775638243.535000
168 104 1775638243.551000
175 101 1775638243.568000
184 100 1775638243.585000
196 100 1775638243.601000

