STROKE 1
126 124 1775644544.810000
126 132 1775644544.869000
127 138 1775644544.885000
130 143 1775644544.902000
133 149 1775644544.919000
137 152 1775644544.935000
141 154 1775644544.952000
144 154 1775644544.968000
147 154 1775644544.985000
149 151 1775644545.001000
150 147 1775644545.018000
151 142 1775644545.035000
153 138 1775644545.051000
154 133 1775644545.068000
155 130 1775644545.085000
155 126 1775644545.101000
156 124 1775644545.118000
156 123 1775644545.134000
157 122 1775644545.151000
157 124 1775644545.185000
157 128 1775644545.201000
157 134 1775644545.218000
157 143 1775644545.234000
156 154 1775644545.251000
154 165 1775644545.268000
153 176 1775644545.284000
150 186 1775644545.301000
148 193 1775644545.318000
144 196 1775644545.334000
141 198 1775644545.351000
136 198 1775644545.368000
131 198 1775644545.384000
126 197 1775644545.401000
121 195 1775644545.418000
117 189 1775644545.434000
113 183 1775644545.451000
110 175 1775644545.467000
108 165 1775644545.484000
108 155 1775644545.501000
108 143 1775644545.517000
108 132 1775644545.534000
108 122 1775644545.550000
109 113 1775644545.567000
111 107 1775644545.584000
116 102 1775644545.600000
122 100 1775644545.617000
129 100 1775644545.634000
137 100 1775644545.650000
144 103 1775644545.667000
150 107 1775644545.684000

STROKE 2
174 131 1775644551.034000
180 121 1775644551.093000
184 121 1775644551.110000
188 122 1775644551.127000
191 124 1775644551.143000
193 125 1775644551.159000
195 128 1775644551.176000
195 131 1775644551.193000
195 135 1775644551.209000
195 139 1775644551.226000
195 143 1775644551.243000
193 148 1775644551.259000
190 151 1775644551.276000
187 154 1775644551.293000
184 155 1775644551.309000
181 156 1775644551.326000
180 156 1775644551.342000
179 156 1775644551.359000
179 156 1775644551.376000
179 155 1775644551.392000
179 154 1775644551.409000
179 154 1775644551.426000
179 153 1775644551.459000
179 155 1775644551.509000
180 160 1775644551.526000
180 165 1775644551.542000
181 171 1775644551.559000
181 176 1775644551.576000
181 180 1775644551.593000
182 184 1775644551.609000
184 186 1775644551.626000
187 187 1775644551.642000
192 187 1775644551.659000
199 185 1775644551.675000
207 183 1775644551.692000
216 181 1775644551.709000
223 180 1775644551.725000
228 180 1775644551.742000
232 180 1775644551.758000
233 180 1775644551.775000

STROKE 3
222 121 1775644551.983000
232 121 1775644552.059000
233 126 1775644552.076000
234 132 1775644552.092000
234 137 1775644552.108000
232 141 1775644552.125000
227 146 1775644552.142000
221 149 1775644552.158000
214 149 1775644552.175000
207 149 1775644552.192000
202 149 1775644552.208000
198 146 1775644552.225000
196 143 1775644552.241000
196 141 1775644552.258000

STROKE 4
225 118 1775644552.483000
217 116 1775644552.558000
213 114 1775644552.575000
210 107 1775644552.591000
209 98 1775644552.608000
209 91 1775644552.624000
210 86 1775644552.641000
216 84 1775644552.658000
224 84 1775644552.674000
240 90 1775644552.691000

