STROKE 1
77 159 1775799281.755000
86 152 1775799281.797000
90 152 1775799281.814000
94 153 1775799281.830000
96 156 1775799281.848000
97 161 1775799281.864000
97 166 1775799281.880000
97 172 1775799281.897000
94 175 1775799281.914000
89 177 1775799281.930000
84 177 1775799281.947000
80 177 1775799281.963000
76 169 1775799281.980000
75 158 1775799281.997000
75 148 1775799282.014000
81 140 1775799282.030000
88 136 1775799282.047000
95 135 1775799282.063000

STROKE 2
119 172 1775799282.554000
115 164 1775799282.630000
115 160 1775799282.646000
116 156 1775799282.647000
119 147 1775799282.663000
123 141 1775799282.679000
127 135 1775799282.696000
130 133 1775799282.712000
134 133 1775799282.729000
137 133 1775799282.746000
138 136 1775799282.762000
139 141 1775799282.779000
140 146 1775799282.796000
140 150 1775799282.812000
140 155 1775799282.829000
140 158 1775799282.845000
140 160 1775799282.862000
140 161 1775799282.879000
140 161 1775799282.896000
139 161 1775799282.912000
139 157 1775799282.929000
139 150 1775799282.945000
144 142 1775799282.962000
151 135 1775799282.978000
158 131 1775799282.995000
165 130 1775799283.012000
169 130 1775799283.029000
172 133 1775799283.045000
174 138 1775799283.062000
174 144 1775799283.078000
175 149 1775799283.095000
175 153 1775799283.112000
175 156 1775799283.128000
175 160 1775799283.145000
175 162 1775799283.161000
174 164 1775799283.178000
173 165 1775799283.195000
173 165 1775799283.211000
173 165 1775799283.228000
172 165 1775799283.245000

STROKE 3
175 165 1775799283.652000
176 155 1775799283.694000
177 150 1775799283.711000
181 145 1775799283.728000
187 140 1775799283.744000
193 138 1775799283.761000
199 137 1775799283.778000
204 137 1775799283.794000
206 139 1775799283.811000
207 143 1775799283.827000
207 148 1775799283.844000
207 152 1775799283.861000
207 156 1775799283.877000
207 159 1775799283.894000
207 162 1775799283.911000
207 164 1775799283.927000

STROKE 4
220 171 1775799284.168000
216 161 1775799284.210000
216 155 1775799284.227000
216 148 1775799284.244000
218 142 1775799284.260000
222 138 1775799284.277000
228 136 1775799284.293000
232 136 1775799284.310000
234 136 1775799284.326000
235 140 1775799284.343000
236 145 1775799284.360000
236 149 1775799284.376000
236 154 1775799284.393000
236 157 1775799284.410000
236 159 1775799284.426000
236 160 1775799284.443000
237 156 1775799284.477000
241 151 1775799284.493000
248 146 1775799284.510000
255 143 1775799284.526000
260 143 1775799284.543000
262 143 1775799284.559000
263 148 1775799284.576000
263 154 1775799284.593000
263 159 1775799284.609000
263 163 1775799284.626000
263 165 1775799284.643000
263 166 1775799284.659000

STROKE 5
265 137 1775799284.817000
256 140 1775799284.876000
254 140 1775799284.893000
251 140 1775799284.909000
249 136 1775799284.926000
248 128 1775799284.942000
248 119 1775799284.959000
250 110 1775799284.976000
256 106 1775799284.992000
264 105 1775799285.009000
272 106 1775799285.025000

