STROKE 1
123 152 1775796728.948000
131 152 1775796729.006000
138 152 1775796729.024000
143 154 1775796729.040000
144 156 1775796729.056000
144 159 1775796729.073000
140 163 1775796729.089000
134 164 1775796729.106000
128 164 1775796729.122000
123 164 1775796729.139000
119 164 1775796729.156000
116 162 1775796729.172000
114 157 1775796729.189000
113 152 1775796729.205000
113 147 1775796729.222000
113 143 1775796729.239000
114 140 1775796729.256000
117 136 1775796729.272000
121 133 1775796729.289000
126 133 1775796729.305000
132 133 1775796729.322000

STROKE 2
168 135 1775796731.894000
165 142 1775796732.002000
165 146 1775796732.019000
167 149 1775796732.035000
169 152 1775796732.052000
171 155 1775796732.068000
174 156 1775796732.085000
176 158 1775796732.102000
179 158 1775796732.118000
182 158 1775796732.135000
184 158 1775796732.151000
186 156 1775796732.168000
188 153 1775796732.184000
190 149 1775796732.201000
191 146 1775796732.218000
191 142 1775796732.234000
191 139 1775796732.251000
191 136 1775796732.268000
191 135 1775796732.284000
191 133 1775796732.301000
191 133 1775796732.318000
191 133 1775796732.351000
191 136 1775796732.367000
191 140 1775796732.384000
191 148 1775796732.401000
191 160 1775796732.417000
191 173 1775796732.434000
191 184 1775796732.451000
190 192 1775796732.467000
188 197 1775796732.484000
186 200 1775796732.501000
183 201 1775796732.517000
179 202 1775796732.534000
175 203 1775796732.551000
170 203 1775796732.567000
165 203 1775796732.584000
160 201 1775796732.601000
157 196 1775796732.617000
155 190 1775796732.634000
153 182 1775796732.651000
151 171 1775796732.667000
149 151 1775796732.683000
148 136 1775796732.700000
148 125 1775796732.717000
148 118 1775796732.734000
148 114 1775796732.750000
148 111 1775796732.767000
149 109 1775796732.784000
153 107 1775796732.800000
159 107 1775796732.817000
165 107 1775796732.833000
175 107 1775796732.850000
204 115 1775796732.867000

