STROKE 1
116 135 1775644297.626000
123 126 1775644297.669000
127 126 1775644297.686000
131 126 1775644297.702000
135 128 1775644297.719000
138 132 1775644297.735000
139 136 1775644297.752000
139 141 1775644297.768000
138 144 1775644297.785000
133 146 1775644297.802000
126 148 1775644297.818000
119 148 1775644297.835000
114 148 1775644297.852000
109 148 1775644297.868000
107 145 1775644297.885000
106 138 1775644297.902000
106 131 1775644297.918000
108 123 1775644297.935000
112 117 1775644297.951000
117 112 1775644297.968000
123 110 1775644297.985000
127 109 1775644298.002000
134 109 1775644298.018000
139 109 1775644298.035000

STROKE 2
164 151 1775644298.259000
159 145 1775644298.318000
158 140 1775644298.335000
157 133 1775644298.351000
157 125 1775644298.368000
157 119 1775644298.384000
157 115 1775644298.401000
160 113 1775644298.418000
165 112 1775644298.434000
168 112 1775644298.451000
172 113 1775644298.467000
174 116 1775644298.485000
175 120 1775644298.501000
176 125 1775644298.517000
176 130 1775644298.534000
176 133 1775644298.551000
176 135 1775644298.567000
176 136 1775644298.584000
176 134 1775644298.617000
176 129 1775644298.634000
177 124 1775644298.651000
181 118 1775644298.667000
186 114 1775644298.684000
190 112 1775644298.700000
195 112 1775644298.717000
198 112 1775644298.734000
200 115 1775644298.750000
201 120 1775644298.767000
202 126 1775644298.784000
202 133 1775644298.800000
202 140 1775644298.817000
202 144 1775644298.834000
201 147 1775644298.850000
200 148 1775644298.867000
199 148 1775644298.883000

STROKE 3
221 111 1775644299.008000
224 125 1775644299.084000
224 137 1775644299.101000
225 149 1775644299.117000
225 159 1775644299.134000
225 168 1775644299.150000
225 176 1775644299.167000
222 181 1775644299.184000
216 185 1775644299.200000
209 187 1775644299.216000
201 187 1775644299.233000
194 187 1775644299.250000
188 181 1775644299.266000
183 172 1775644299.283000
183 162 1775644299.299000
183 152 1775644299.316000
187 147 1775644299.333000

STROKE 4
223 133 1775644299.574000
225 119 1775644299.616000
227 115 1775644299.632000
232 110 1775644299.649000
239 107 1775644299.666000
248 106 1775644299.682000
255 106 1775644299.699000
260 108 1775644299.716000
261 113 1775644299.732000
261 119 1775644299.749000
261 126 1775644299.765000
259 134 1775644299.782000
255 141 1775644299.799000
251 146 1775644299.815000
249 149 1775644299.832000
248 150 1775644299.849000

STROKE 5
241 103 1775644300.289000
228 107 1775644300.331000
222 107 1775644300.348000
217 107 1775644300.365000
212 104 1775644300.381000
211 97 1775644300.398000
211 90 1775644300.415000
215 83 1775644300.431000
225 79 1775644300.448000
239 76 1775644300.464000
257 76 1775644300.481000
268 77 1775644300.498000

