STROKE 1
192 127 1775645310.834000
192 132 1775645310.876000
191 136 1775645310.893000
189 140 1775645310.909000
184 141 1775645310.927000
179 141 1775645310.943000
174 134 1775645310.959000
173 125 1775645310.975000
173 116 1775645310.992000
173 110 1775645311.008000
178 106 1775645311.025000
183 104 1775645311.042000
188 104 1775645311.058000
193 105 1775645311.075000
196 109 1775645311.092000
198 115 1775645311.108000
198 121 1775645311.125000
198 129 1775645311.142000
198 137 1775645311.158000
198 146 1775645311.175000
198 154 1775645311.192000
197 162 1775645311.209000
197 169 1775645311.226000
197 174 1775645311.242000
198 176 1775645311.259000
203 176 1775645311.276000
210 176 1775645311.292000
216 176 1775645311.309000

STROKE 2
234 113 1775645311.453000
225 107 1775645311.492000
222 110 1775645311.509000
219 114 1775645311.526000
218 119 1775645311.542000
218 125 1775645311.559000
218 131 1775645311.575000
219 136 1775645311.591000
220 139 1775645311.608000
221 141 1775645311.624000
221 142 1775645311.641000
218 142 1775645311.674000
215 141 1775645311.691000
213 139 1775645311.708000
213 136 1775645311.725000
213 134 1775645311.741000
213 133 1775645311.758000
217 133 1775645311.775000
220 133 1775645311.791000
224 136 1775645311.808000
227 143 1775645311.825000
228 152 1775645311.841000
230 163 1775645311.858000
232 172 1775645311.875000
233 181 1775645311.891000
234 187 1775645311.908000
235 192 1775645311.925000
235 193 1775645311.941000

STROKE 3
238 108 1775645312.099000
232 109 1775645312.141000
227 112 1775645312.158000
223 113 1775645312.175000
220 113 1775645312.191000
217 108 1775645312.208000
217 98 1775645312.224000
218 89 1775645312.241000
224 84 1775645312.258000
233 82 1775645312.274000
247 84 1775645312.291000
258 90 1775645312.307000

