STROKE 1
164 150 1775710722.568000
165 145 1775710722.583000
166 139 1775710722.595000
170 135 1775710722.612000
176 134 1775710722.629000
186 134 1775710722.645000
192 136 1775710722.662000
197 141 1775710722.679000
199 146 1775710722.695000
199 151 1775710722.712000
199 156 1775710722.729000
197 160 1775710722.745000
192 164 1775710722.762000
186 166 1775710722.779000
179 167 1775710722.795000
172 168 1775710722.812000
167 168 1775710722.828000
163 163 1775710722.845000
162 156 1775710722.862000
162 150 1775710722.878000
162 146 1775710722.895000
166 143 1775710722.911000
171 143 1775710722.928000
174 143 1775710722.945000
177 143 1775710722.962000
177 144 1775710722.978000
177 148 1775710722.995000
177 152 1775710723.011000
177 156 1775710723.028000
177 161 1775710723.045000
176 164 1775710723.061000
176 167 1775710723.078000

STROKE 2
192 118 1775710723.451000
190 113 1775710723.678000
188 115 1775710723.694000
186 116 1775710723.711000
185 117 1775710723.727000
185 117 1775710723.744000

