STROKE 1
142 148 1775638557.737000
148 137 1775638557.798000
153 137 1775638557.814000
157 138 1775638557.831000
159 141 1775638557.847000
160 145 1775638557.864000
160 149 1775638557.880000
160 153 1775638557.897000
156 157 1775638557.914000
151 158 1775638557.930000
146 158 1775638557.947000
141 158 1775638557.963000
137 152 1775638557.980000
136 144 1775638557.997000
136 135 1775638558.013000
140 126 1775638558.030000
146 119 1775638558.047000
153 114 1775638558.063000
158 111 1775638558.080000
162 111 1775638558.097000
163 111 1775638558.113000
164 115 1775638558.130000
164 118 1775638558.146000

STROKE 2
178 133 1775638558.370000
178 142 1775638558.447000
180 149 1775638558.463000
185 156 1775638558.480000
192 161 1775638558.497000
199 164 1775638558.513000
207 164 1775638558.530000
213 164 1775638558.546000
217 159 1775638558.563000
219 152 1775638558.579000
219 143 1775638558.596000
219 135 1775638558.613000
219 129 1775638558.629000
219 126 1775638558.646000
217 126 1775638558.663000
217 126 1775638558.679000

