STROKE 1
149 159 1775907218.969000
144 163 1775907219.026000
141 166 1775907219.043000
139 167 1775907219.059000
137 168 1775907219.060000
132 168 1775907219.076000
128 168 1775907219.092000
125 165 1775907219.109000
124 158 1775907219.126000
124 151 1775907219.142000
129 144 1775907219.159000
135 140 1775907219.176000
140 139 1775907219.192000
144 139 1775907219.209000
146 141 1775907219.225000
147 144 1775907219.242000
147 148 1775907219.258000
147 152 1775907219.275000
147 155 1775907219.292000
147 157 1775907219.308000
145 159 1775907219.325000
144 162 1775907219.342000

STROKE 2
153 160 1775907220.715000
153 150 1775907220.739000
153 146 1775907220.756000
156 142 1775907220.773000
159 140 1775907220.790000
163 138 1775907220.806000
168 138 1775907220.823000
172 138 1775907220.840000
175 138 1775907220.856000
176 142 1775907220.873000
176 147 1775907220.890000
176 152 1775907220.906000
176 159 1775907220.923000
176 165 1775907220.940000
176 170 1775907220.956000
175 174 1775907220.973000

STROKE 3
166 126 1775907221.381000
166 116 1775907221.439000
167 114 1775907221.456000
168 113 1775907221.472000
169 112 1775907221.489000
169 112 1775907221.506000
169 114 1775907221.539000
168 116 1775907221.556000
165 118 1775907221.572000
163 118 1775907221.589000
162 118 1775907221.605000
161 118 1775907221.622000
161 116 1775907221.638000
163 116 1775907221.655000

STROKE 4
174 178 1775907222.330000
173 176 1775907222.389000
173 186 1775907222.404000
173 195 1775907222.421000
173 203 1775907222.438000
173 209 1775907222.454000
173 212 1775907222.471000
173 213 1775907222.487000
174 213 1775907222.504000
177 212 1775907222.521000
181 210 1775907222.537000

STROKE 5
196 143 1775907222.813000
200 140 1775907223.021000
201 140 1775907223.037000
201 140 1775907223.053000
201 141 1775907223.070000
201 142 1775907223.087000
201 142 1775907223.104000
199 142 1775907223.120000
198 142 1775907223.136000
198 140 1775907223.153000
198 140 1775907223.170000

STROKE 6
191 176 1775907223.428000
195 169 1775907223.720000
194 169 1775907223.736000
193 169 1775907223.752000
193 170 1775907223.786000

