STROKE 1
150 125 1775797126.759000
141 131 1775797126.835000
141 136 1775797126.851000
142 140 1775797126.867000
144 142 1775797126.884000
147 144 1775797126.901000
153 147 1775797126.917000

STROKE 2
167 129 1775797127.092000
174 128 1775797127.201000
174 132 1775797127.217000
174 137 1775797127.234000
174 141 1775797127.251000
174 144 1775797127.267000
173 148 1775797127.284000
170 151 1775797127.300000
166 153 1775797127.317000
163 154 1775797127.334000
159 154 1775797127.350000
157 152 1775797127.367000
157 148 1775797127.383000
158 144 1775797127.400000
162 143 1775797127.416000
165 143 1775797127.433000
167 143 1775797127.450000
168 144 1775797127.466000
169 149 1775797127.483000

STROKE 3
175 152 1775797127.757000
176 143 1775797127.770000
176 137 1775797127.782000
177 134 1775797127.799000
181 133 1775797127.816000
186 132 1775797127.832000
191 132 1775797127.849000
196 132 1775797127.866000
200 132 1775797127.883000
203 132 1775797127.899000
204 136 1775797127.916000
204 140 1775797127.932000
204 145 1775797127.949000
204 148 1775797127.965000
204 151 1775797127.982000
204 153 1775797127.999000

STROKE 4
229 120 1775797128.240000
222 124 1775797128.432000
224 122 1775797128.449000
226 122 1775797128.466000
227 122 1775797128.482000
228 122 1775797128.498000

STROKE 5
220 162 1775797128.772000
227 158 1775797129.082000
227 158 1775797129.098000

