STROKE 1
144 135 1775908351.311000
142 139 1775908351.355000
142 144 1775908351.372000
142 150 1775908351.388000
146 156 1775908351.405000
151 160 1775908351.422000
158 163 1775908351.438000

STROKE 2
170 136 1775908351.597000
178 135 1775908351.655000
181 140 1775908351.671000
184 145 1775908351.688000
184 150 1775908351.705000
184 156 1775908351.721000
182 159 1775908351.738000
177 162 1775908351.755000
172 162 1775908351.771000
166 162 1775908351.788000
162 162 1775908351.804000
159 158 1775908351.821000
158 155 1775908351.838000
158 152 1775908351.854000
160 150 1775908351.871000
165 149 1775908351.888000
171 149 1775908351.904000
176 149 1775908351.921000
180 152 1775908351.937000
184 156 1775908351.954000

STROKE 3
216 155 1775908352.279000
213 159 1775908352.320000
208 161 1775908352.337000
204 162 1775908352.354000
201 162 1775908352.371000
198 161 1775908352.387000
198 155 1775908352.404000
198 148 1775908352.420000
199 143 1775908352.437000
204 140 1775908352.453000
210 139 1775908352.471000
215 139 1775908352.487000
219 139 1775908352.503000
220 142 1775908352.520000
220 146 1775908352.537000
220 149 1775908352.553000
220 152 1775908352.570000
220 155 1775908352.586000
218 157 1775908352.603000
218 158 1775908352.620000

STROKE 4
226 149 1775908352.979000
236 140 1775908353.019000
242 141 1775908353.036000
246 144 1775908353.052000
250 149 1775908353.069000
250 155 1775908353.086000
250 160 1775908353.103000
250 164 1775908353.119000
246 167 1775908353.136000

STROKE 5
238 137 1775908353.328000
229 135 1775908353.352000
224 135 1775908353.368000
220 135 1775908353.385000
218 132 1775908353.402000
218 127 1775908353.418000
221 120 1775908353.435000
231 115 1775908353.452000
241 113 1775908353.468000
251 113 1775908353.485000
258 117 1775908353.502000

