STROKE 1
147 144 1775889430.946000
149 143 1775889431.007000
149 147 1775889431.024000
149 151 1775889431.041000
149 155 1775889431.057000
146 158 1775889431.074000
141 159 1775889431.090000
135 159 1775889431.107000
132 159 1775889431.124000
131 154 1775889431.140000
131 148 1775889431.157000
133 144 1775889431.174000
140 141 1775889431.190000
149 138 1775889431.207000
157 137 1775889431.223000
162 137 1775889431.240000
165 137 1775889431.256000
166 141 1775889431.273000
166 146 1775889431.290000
166 153 1775889431.306000
166 160 1775889431.323000
166 168 1775889431.340000
166 174 1775889431.356000
166 180 1775889431.373000
166 186 1775889431.390000
166 188 1775889431.406000

STROKE 2
149 172 1775889431.562000
148 178 1775889431.624000
148 185 1775889431.639000
148 193 1775889431.657000
149 200 1775889431.673000
149 205 1775889431.690000
149 209 1775889431.706000
147 210 1775889431.723000
142 210 1775889431.739000
136 210 1775889431.756000

STROKE 3
185 145 1775889432.097000
192 134 1775889432.139000
196 134 1775889432.156000
199 136 1775889432.172000
201 139 1775889432.189000
202 144 1775889432.205000
202 150 1775889432.222000
202 156 1775889432.239000
202 161 1775889432.255000
197 165 1775889432.272000
192 167 1775889432.289000
187 168 1775889432.305000
184 168 1775889432.322000
183 168 1775889432.338000
182 168 1775889432.355000
182 168 1775889432.371000
182 168 1775889432.388000
183 168 1775889432.421000
186 168 1775889432.438000
188 172 1775889432.455000
190 177 1775889432.471000
191 183 1775889432.488000
193 190 1775889432.505000
195 195 1775889432.522000
197 199 1775889432.538000
200 201 1775889432.555000
204 202 1775889432.571000
208 202 1775889432.588000
212 202 1775889432.605000
215 202 1775889432.621000
220 201 1775889432.638000

STROKE 4
223 146 1775889432.795000
234 142 1775889432.871000
234 146 1775889432.888000
234 152 1775889432.905000
233 158 1775889432.921000
227 164 1775889432.938000
220 166 1775889432.954000
212 167 1775889432.971000
206 167 1775889432.987000
202 167 1775889433.004000
199 164 1775889433.021000

STROKE 5
231 138 1775889433.195000
224 134 1775889433.271000
222 131 1775889433.288000
221 124 1775889433.304000
221 116 1775889433.321000
221 110 1775889433.337000
225 109 1775889433.354000
235 111 1775889433.370000

