STROKE 1
131 143 1775661954.276000
140 135 1775661954.317000
146 135 1775661954.333000
151 137 1775661954.350000
156 141 1775661954.367000
158 145 1775661954.384000
158 150 1775661954.400000
158 155 1775661954.417000
154 157 1775661954.433000
149 159 1775661954.450000
143 159 1775661954.467000
138 159 1775661954.483000
134 156 1775661954.500000
131 151 1775661954.517000
131 144 1775661954.533000
131 137 1775661954.550000
134 130 1775661954.566000
140 124 1775661954.583000
148 120 1775661954.599000
158 119 1775661954.616000
167 119 1775661954.633000

STROKE 2
200 117 1775661954.908000
212 115 1775661954.949000
217 118 1775661954.966000
221 123 1775661954.982000
224 129 1775661954.999000
225 134 1775661955.016000
226 140 1775661955.032000
226 145 1775661955.049000
222 150 1775661955.065000
216 152 1775661955.082000
210 153 1775661955.099000
206 153 1775661955.115000
203 153 1775661955.132000
202 150 1775661955.149000
202 146 1775661955.165000
203 143 1775661955.182000
207 141 1775661955.199000
212 141 1775661955.215000
217 141 1775661955.232000
222 141 1775661955.249000
226 143 1775661955.265000
229 148 1775661955.282000
231 154 1775661955.298000
231 162 1775661955.315000
231 170 1775661955.332000
229 179 1775661955.348000
225 187 1775661955.365000
218 194 1775661955.381000
211 198 1775661955.398000
204 201 1775661955.415000
198 201 1775661955.432000
194 199 1775661955.448000
191 191 1775661955.465000
189 180 1775661955.481000
188 167 1775661955.498000
188 151 1775661955.515000
188 135 1775661955.531000
188 119 1775661955.548000
188 106 1775661955.565000
190 94 1775661955.581000
193 87 1775661955.598000
198 83 1775661955.615000
204 82 1775661955.631000
213 82 1775661955.648000
225 88 1775661955.665000

