STROKE 1
98 149 1775579420.094000
104 140 1775579420.120000
109 136 1775579420.137000
115 132 1775579420.154000
122 129 1775579420.170000
131 126 1775579420.187000
143 126 1775579420.204000
155 126 1775579420.220000
165 126 1775579420.237000
172 131 1775579420.254000
177 138 1775579420.270000
179 147 1775579420.287000
179 156 1775579420.303000
179 163 1775579420.320000
176 169 1775579420.337000
170 173 1775579420.353000
164 176 1775579420.370000
157 177 1775579420.387000
150 178 1775579420.403000
143 179 1775579420.420000
137 179 1775579420.437000
131 179 1775579420.453000
126 179 1775579420.470000
121 179 1775579420.486000
118 176 1775579420.503000
115 173 1775579420.520000
112 168 1775579420.536000
111 163 1775579420.553000
110 157 1775579420.570000
109 152 1775579420.586000
108 146 1775579420.603000
108 140 1775579420.620000
108 135 1775579420.636000
108 131 1775579420.653000
109 128 1775579420.670000
114 125 1775579420.686000
120 125 1775579420.703000
125 125 1775579420.719000
129 125 1775579420.736000

STROKE 2
180 152 1775579421.042000
186 145 1775579421.102000
189 142 1775579421.119000
195 140 1775579421.136000
201 137 1775579421.152000
210 135 1775579421.169000
221 133 1775579421.186000
232 133 1775579421.202000
240 133 1775579421.219000
246 137 1775579421.236000
251 142 1775579421.252000
256 146 1775579421.269000
258 151 1775579421.285000
259 156 1775579421.302000
259 161 1775579421.319000
259 165 1775579421.335000
258 168 1775579421.352000
256 170 1775579421.368000
254 172 1775579421.385000
252 172 1775579421.402000
250 173 1775579421.418000
249 173 1775579421.435000
247 173 1775579421.452000

STROKE 3
223 133 1775579421.774000
217 128 1775579421.818000
212 125 1775579421.835000
208 121 1775579421.851000
203 117 1775579421.868000
197 111 1775579421.884000
193 105 1775579421.901000
190 97 1775579421.918000
190 90 1775579421.935000
190 82 1775579421.951000
193 75 1775579421.968000
199 70 1775579421.984000
206 67 1775579422.001000
213 66 1775579422.017000
221 66 1775579422.034000
229 66 1775579422.051000
237 66 1775579422.068000
244 68 1775579422.084000
250 71 1775579422.101000
254 75 1775579422.117000
259 80 1775579422.134000
263 87 1775579422.150000
266 95 1775579422.167000
267 105 1775579422.184000
267 115 1775579422.201000
266 124 1775579422.217000
263 131 1775579422.234000
259 136 1775579422.250000
255 139 1775579422.267000
251 141 1775579422.284000
248 142 1775579422.300000
244 144 1775579422.317000
239 145 1775579422.334000
235 146 1775579422.350000
230 146 1775579422.367000
227 146 1775579422.384000
226 146 1775579422.400000
224 146 1775579422.417000

STROKE 4
244 163 1775579422.840000
242 173 1775579422.866000
242 179 1775579422.883000
242 186 1775579422.899000
241 192 1775579422.916000
240 199 1775579422.933000
240 205 1775579422.949000
240 212 1775579422.966000
240 218 1775579422.983000
240 224 1775579423.000000
240 230 1775579423.016000
241 234 1775579423.033000
243 238 1775579423.049000
244 240 1775579423.066000
245 241 1775579423.083000
246 243 1775579423.099000
247 244 1775579423.116000
249 244 1775579423.133000
251 245 1775579423.149000
255 245 1775579423.166000
260 245 1775579423.183000
266 245 1775579423.199000
271 243 1775579423.216000
276 241 1775579423.232000
279 240 1775579423.249000
280 239 1775579423.266000
280 237 1775579423.282000
280 236 1775579423.299000

STROKE 5
271 199 1775579424.121000
278 206 1775579424.282000
280 209 1775579424.298000
282 211 1775579424.315000
283 213 1775579424.331000
285 214 1775579424.348000
285 215 1775579424.364000
286 216 1775579424.381000
285 216 1775579424.415000

