STROKE 1
104 132 1775798693.281000
104 136 1775798693.324000
104 144 1775798693.341000
105 151 1775798693.358000
108 158 1775798693.374000
113 162 1775798693.391000
119 164 1775798693.407000
123 165 1775798693.424000
126 165 1775798693.441000
127 165 1775798693.457000
127 165 1775798693.474000

STROKE 2
135 141 1775798693.614000
138 140 1775798693.691000
138 141 1775798693.707000
138 143 1775798693.708000
138 147 1775798693.724000
138 152 1775798693.740000
138 157 1775798693.757000
135 161 1775798693.774000
132 164 1775798693.790000
129 165 1775798693.807000
128 166 1775798693.823000

STROKE 3
154 137 1775798694.030000
160 135 1775798694.090000
163 140 1775798694.107000
164 143 1775798694.123000
165 146 1775798694.125000
165 151 1775798694.140000
165 157 1775798694.156000
163 162 1775798694.173000
157 165 1775798694.190000
150 167 1775798694.206000
143 167 1775798694.223000
138 167 1775798694.240000
136 167 1775798694.256000
136 167 1775798694.273000

STROKE 4
173 154 1775798694.413000
175 143 1775798694.427000
175 139 1775798694.439000
179 137 1775798694.456000
184 134 1775798694.472000
190 133 1775798694.489000
196 132 1775798694.506000
201 132 1775798694.522000
204 136 1775798694.539000
206 143 1775798694.555000
206 150 1775798694.572000
206 156 1775798694.589000
205 162 1775798694.605000
203 165 1775798694.622000
201 166 1775798694.639000
200 167 1775798694.655000

STROKE 5
215 130 1775798694.913000
215 131 1775798695.072000
215 128 1775798695.088000
216 126 1775798695.105000
218 126 1775798695.122000
218 126 1775798695.138000

STROKE 6
222 168 1775798695.295000
222 165 1775798695.472000
222 163 1775798695.488000
222 162 1775798695.506000
223 163 1775798695.539000

