STROKE 1
158 139 1775799017.041000
172 135 1775799017.118000
176 139 1775799017.135000
179 143 1775799017.151000
180 147 1775799017.168000
180 152 1775799017.184000
180 158 1775799017.201000
180 164 1775799017.217000
177 170 1775799017.234000
173 174 1775799017.251000
169 176 1775799017.267000
164 177 1775799017.284000
160 177 1775799017.300000
158 176 1775799017.317000
157 172 1775799017.334000
157 169 1775799017.350000
157 165 1775799017.367000
159 163 1775799017.383000
163 162 1775799017.400000
166 161 1775799017.417000
170 161 1775799017.433000
174 161 1775799017.451000
177 163 1775799017.467000

STROKE 2
151 101 1775799017.757000
175 120 1775799017.817000

