STROKE 1
173 143 1775644056.800000
176 147 1775644056.859000
176 152 1775644056.876000
174 156 1775644056.892000
171 157 1775644056.909000
167 157 1775644056.925000
163 152 1775644056.942000
160 144 1775644056.959000
159 136 1775644056.975000
159 129 1775644056.992000
163 125 1775644057.009000
170 124 1775644057.025000
177 124 1775644057.042000
183 124 1775644057.059000
186 127 1775644057.075000
188 131 1775644057.092000
189 137 1775644057.108000
189 144 1775644057.125000
189 153 1775644057.142000
189 163 1775644057.158000
188 172 1775644057.175000
187 181 1775644057.192000
187 190 1775644057.208000
187 197 1775644057.225000
188 202 1775644057.241000
193 205 1775644057.258000
199 205 1775644057.275000
205 205 1775644057.291000
209 205 1775644057.308000

STROKE 2
161 123 1775644057.544000
152 111 1775644057.592000
151 107 1775644057.608000
151 102 1775644057.625000
151 96 1775644057.641000
156 89 1775644057.658000
164 84 1775644057.675000
173 81 1775644057.691000
181 81 1775644057.707000
187 83 1775644057.724000
190 89 1775644057.741000
192 96 1775644057.758000
192 104 1775644057.774000
192 110 1775644057.790000
190 115 1775644057.807000
184 118 1775644057.824000
177 119 1775644057.840000
171 119 1775644057.857000
166 119 1775644057.874000
165 115 1775644057.890000
165 111 1775644057.907000
166 110 1775644057.923000
172 109 1775644057.940000
177 109 1775644057.957000

