STROKE 1
108 167 1775889372.271000
119 161 1775889372.313000
126 161 1775889372.329000
131 163 1775889372.346000
135 165 1775889372.363000
136 167 1775889372.379000
136 170 1775889372.396000
129 172 1775889372.412000
122 173 1775889372.429000
117 173 1775889372.446000
112 173 1775889372.462000
109 172 1775889372.479000
107 167 1775889372.496000
106 160 1775889372.512000
106 152 1775889372.529000
113 146 1775889372.545000
121 141 1775889372.562000
130 140 1775889372.579000
137 139 1775889372.595000
141 139 1775889372.612000

STROKE 2
159 153 1775889374.201000
171 143 1775889374.277000
178 144 1775889374.293000
185 146 1775889374.310000
189 149 1775889374.326000
192 153 1775889374.343000
192 156 1775889374.359000
192 161 1775889374.376000
192 164 1775889374.393000
189 168 1775889374.410000
185 171 1775889374.426000
180 173 1775889374.442000
175 175 1775889374.459000
170 175 1775889374.476000
166 175 1775889374.492000
163 173 1775889374.509000
163 169 1775889374.526000
163 166 1775889374.542000
164 164 1775889374.559000
170 163 1775889374.575000
182 163 1775889374.592000
191 163 1775889374.609000

STROKE 3
229 169 1775889375.149000
225 173 1775889375.208000
221 175 1775889375.225000
219 176 1775889375.241000
217 176 1775889375.242000
213 177 1775889375.258000
209 177 1775889375.275000
207 174 1775889375.291000
206 167 1775889375.312000
206 160 1775889375.325000
211 154 1775889375.341000
216 151 1775889375.358000
221 150 1775889375.374000
224 150 1775889375.391000
226 150 1775889375.407000
227 154 1775889375.424000
227 158 1775889375.441000
227 164 1775889375.457000
227 170 1775889375.474000
227 174 1775889375.491000

STROKE 4
228 170 1775889375.748000
232 159 1775889375.773000
232 155 1775889375.790000
235 152 1775889375.807000
239 151 1775889375.824000
244 151 1775889375.840000
250 151 1775889375.857000
254 155 1775889375.874000
256 159 1775889375.890000
257 165 1775889375.907000
257 171 1775889375.923000
257 178 1775889375.940000
256 181 1775889375.957000

STROKE 5
248 153 1775889376.182000
241 151 1775889376.257000
240 151 1775889376.273000
238 151 1775889376.274000
236 146 1775889376.290000
235 138 1775889376.306000
235 129 1775889376.323000
240 124 1775889376.340000
252 123 1775889376.356000
265 123 1775889376.373000

