STROKE 1
132 135 1775580455.029000
131 136 1775580455.088000
132 140 1775580455.105000
135 145 1775580455.121000
139 149 1775580455.138000
143 153 1775580455.155000
148 156 1775580455.171000
153 157 1775580455.188000
157 158 1775580455.205000
160 158 1775580455.221000
164 157 1775580455.238000
166 154 1775580455.254000
168 151 1775580455.271000
169 148 1775580455.288000
169 144 1775580455.304000
170 141 1775580455.321000
170 139 1775580455.338000
170 136 1775580455.354000
170 134 1775580455.371000
170 133 1775580455.388000
169 133 1775580455.404000
168 133 1775580455.421000
168 132 1775580455.437000
167 132 1775580455.454000
167 132 1775580455.487000
167 131 1775580455.504000
167 130 1775580455.521000
167 129 1775580455.537000
168 128 1775580455.554000
171 126 1775580455.570000
175 125 1775580455.587000
179 123 1775580455.604000
183 122 1775580455.620000
188 122 1775580455.637000
191 122 1775580455.654000
195 123 1775580455.670000
197 125 1775580455.687000
198 129 1775580455.703000
199 132 1775580455.720000
200 134 1775580455.737000
200 137 1775580455.753000
200 139 1775580455.770000
200 141 1775580455.787000
200 142 1775580455.803000
200 144 1775580455.820000
200 145 1775580455.837000
200 146 1775580455.853000
200 147 1775580455.870000
200 149 1775580455.887000
200 150 1775580455.903000
200 151 1775580455.920000
200 152 1775580455.937000
200 152 1775580455.953000
200 150 1775580456.037000
200 147 1775580456.054000
200 143 1775580456.070000
201 138 1775580456.087000
204 133 1775580456.103000
207 129 1775580456.120000
212 126 1775580456.136000
216 124 1775580456.153000
220 123 1775580456.169000
224 123 1775580456.186000
227 123 1775580456.203000
229 123 1775580456.219000
231 124 1775580456.236000
232 126 1775580456.253000
233 130 1775580456.269000
233 134 1775580456.286000
233 137 1775580456.303000
233 141 1775580456.319000
233 144 1775580456.336000
233 148 1775580456.353000
233 150 1775580456.369000
233 153 1775580456.386000
233 155 1775580456.403000
233 156 1775580456.419000
233 157 1775580456.436000

