STROKE 1
171 110 1775644287.427000
176 104 1775644287.502000
178 106 1775644287.518000
179 109 1775644287.519000
180 114 1775644287.535000
180 120 1775644287.552000
179 125 1775644287.568000
174 127 1775644287.585000
168 127 1775644287.602000
163 127 1775644287.618000
158 122 1775644287.635000
156 115 1775644287.651000
156 108 1775644287.668000
156 100 1775644287.685000
159 94 1775644287.701000
165 90 1775644287.718000
170 88 1775644287.735000
174 88 1775644287.751000
178 88 1775644287.768000
181 88 1775644287.785000
183 92 1775644287.800000
186 98 1775644287.817000
189 105 1775644287.834000
191 114 1775644287.851000
193 124 1775644287.867000
193 135 1775644287.884000
193 146 1775644287.901000
193 156 1775644287.917000
192 166 1775644287.934000
190 174 1775644287.951000
189 180 1775644287.967000
189 182 1775644287.984000
190 182 1775644288.001000
197 179 1775644288.017000
209 168 1775644288.034000
222 156 1775644288.051000
228 150 1775644288.067000

STROKE 2
167 93 1775644288.306000
156 85 1775644288.334000
152 80 1775644288.350000
150 73 1775644288.374000
149 65 1775644288.383000
149 57 1775644288.401000
150 50 1775644288.417000
153 45 1775644288.433000
157 43 1775644288.450000
160 43 1775644288.467000
163 43 1775644288.483000
166 47 1775644288.500000
170 53 1775644288.516000
174 60 1775644288.534000
177 67 1775644288.550000
178 73 1775644288.567000
178 78 1775644288.583000
178 82 1775644288.600000
177 85 1775644288.616000
173 86 1775644288.633000
171 86 1775644288.650000
168 86 1775644288.666000
166 83 1775644288.683000
165 79 1775644288.699000
165 75 1775644288.716000
165 71 1775644288.733000
166 69 1775644288.749000
169 68 1775644288.766000
173 67 1775644288.783000
175 67 1775644288.799000

