STROKE 1
119 136 1775805567.636000
133 134 1775805567.744000
135 136 1775805567.760000
135 140 1775805567.776000
135 145 1775805567.793000
135 150 1775805567.810000
135 155 1775805567.826000
133 157 1775805567.843000
131 159 1775805567.859000
128 160 1775805567.876000
126 161 1775805567.893000
123 162 1775805567.909000
121 162 1775805567.926000
119 162 1775805567.942000
119 162 1775805567.959000

STROKE 2
155 130 1775805568.533000
165 130 1775805568.592000
168 134 1775805568.609000
170 138 1775805568.625000
171 142 1775805568.642000
171 145 1775805568.658000
171 148 1775805568.675000
170 150 1775805568.692000
166 152 1775805568.708000
159 154 1775805568.725000
153 155 1775805568.741000
148 156 1775805568.758000
143 156 1775805568.774000
140 156 1775805568.791000
138 156 1775805568.808000
135 156 1775805568.824000

STROKE 3
183 139 1775805569.198000
179 148 1775805569.308000
182 152 1775805569.324000
189 155 1775805569.340000
196 156 1775805569.357000
201 156 1775805569.374000
204 156 1775805569.390000
206 151 1775805569.407000
206 146 1775805569.423000
206 142 1775805569.440000
206 139 1775805569.457000
205 138 1775805569.473000
204 138 1775805569.490000

STROKE 4
227 142 1775805569.781000
235 146 1775805569.890000
235 148 1775805569.906000
235 150 1775805569.923000
235 152 1775805569.940000
232 155 1775805569.956000
228 156 1775805569.973000
223 157 1775805569.989000
218 157 1775805570.006000
214 157 1775805570.023000
213 157 1775805570.039000
212 157 1775805570.056000

STROKE 5
227 140 1775805570.279000
219 125 1775805570.389000
219 118 1775805570.406000
220 111 1775805570.423000
226 106 1775805570.439000
232 104 1775805570.455000
239 105 1775805570.472000
249 111 1775805570.488000

