STROKE 1
151 153 1775661924.865000
158 145 1775661924.894000
161 146 1775661924.911000
163 152 1775661924.928000
164 158 1775661924.944000
164 164 1775661924.961000
161 168 1775661924.977000
154 169 1775661924.994000
147 169 1775661925.011000
141 166 1775661925.027000
137 158 1775661925.044000
137 149 1775661925.061000
139 140 1775661925.077000
149 131 1775661925.094000
160 126 1775661925.110000
165 125 1775661925.127000

STROKE 2
187 154 1775661925.269000
181 141 1775661925.310000
181 137 1775661925.327000
181 133 1775661925.344000
182 131 1775661925.360000
188 130 1775661925.377000
195 130 1775661925.394000
200 132 1775661925.410000
202 139 1775661925.427000
202 148 1775661925.443000
202 159 1775661925.460000
202 170 1775661925.477000
200 179 1775661925.493000
199 187 1775661925.510000
199 195 1775661925.526000
199 201 1775661925.543000
201 205 1775661925.560000
204 208 1775661925.576000
209 208 1775661925.593000
214 208 1775661925.610000
218 207 1775661925.626000

STROKE 3
210 150 1775661925.785000
210 141 1775661925.800000
210 135 1775661925.809000
212 131 1775661925.826000
217 130 1775661925.843000
223 130 1775661925.859000
227 131 1775661925.876000
231 136 1775661925.893000
232 142 1775661925.909000
232 149 1775661925.926000
232 153 1775661925.942000

