STROKE 1
168 134 1775797115.208000
157 139 1775797115.351000
159 141 1775797115.368000
161 143 1775797115.384000
163 145 1775797115.401000
164 148 1775797115.418000
164 150 1775797115.434000
164 152 1775797115.451000
164 154 1775797115.468000
161 155 1775797115.484000
157 155 1775797115.501000
154 155 1775797115.517000
153 155 1775797115.534000
152 153 1775797115.550000
152 151 1775797115.567000
153 150 1775797115.584000
155 150 1775797115.601000
157 150 1775797115.617000
158 150 1775797115.634000
159 153 1775797115.650000
159 158 1775797115.667000
160 164 1775797115.683000
161 172 1775797115.700000
161 178 1775797115.717000
161 185 1775797115.734000
161 190 1775797115.750000
161 195 1775797115.767000
161 198 1775797115.783000
161 199 1775797115.800000
161 200 1775797115.816000
161 200 1775797115.833000

STROKE 2
200 141 1775797116.024000
207 131 1775797116.117000
209 133 1775797116.133000
210 137 1775797116.150000
210 140 1775797116.166000
210 144 1775797116.183000
210 149 1775797116.200000
209 153 1775797116.216000
206 158 1775797116.233000
202 161 1775797116.250000
198 163 1775797116.266000
194 164 1775797116.283000
189 163 1775797116.299000
188 156 1775797116.316000
188 150 1775797116.333000
188 145 1775797116.349000
189 143 1775797116.366000
192 142 1775797116.382000
195 142 1775797116.399000
197 142 1775797116.416000
198 144 1775797116.432000
198 147 1775797116.449000
198 150 1775797116.465000
196 153 1775797116.482000
195 156 1775797116.499000
192 162 1775797116.515000

STROKE 3
210 138 1775797117.122000
201 130 1775797117.232000
201 125 1775797117.248000
201 120 1775797117.265000
202 115 1775797117.281000
207 112 1775797117.298000
213 112 1775797117.315000
218 112 1775797117.331000
223 115 1775797117.348000
237 122 1775797117.365000

