STROKE 1
122 120 1775890273.017000
131 110 1775890273.077000
134 110 1775890273.094000
138 112 1775890273.110000
140 115 1775890273.127000
142 119 1775890273.143000
142 123 1775890273.160000
142 127 1775890273.177000
138 131 1775890273.193000
132 135 1775890273.210000
128 137 1775890273.226000
127 137 1775890273.243000
130 137 1775890273.277000
135 137 1775890273.293000
140 139 1775890273.310000
142 143 1775890273.326000
143 148 1775890273.343000
143 153 1775890273.359000
143 158 1775890273.376000
140 162 1775890273.393000
135 165 1775890273.409000
130 167 1775890273.426000
126 167 1775890273.443000
122 167 1775890273.459000
120 166 1775890273.476000
120 166 1775890273.492000

STROKE 2
137 148 1775890273.667000
137 138 1775890273.681000
138 130 1775890273.692000
142 125 1775890273.709000
147 122 1775890273.725000
152 120 1775890273.742000
158 120 1775890273.759000
164 120 1775890273.776000
169 120 1775890273.792000
172 123 1775890273.809000
173 127 1775890273.825000
173 132 1775890273.842000
173 138 1775890273.859000
173 144 1775890273.875000
173 150 1775890273.892000
173 156 1775890273.909000
171 161 1775890273.925000
169 164 1775890273.942000
167 165 1775890273.959000
165 165 1775890273.975000
164 160 1775890273.992000
164 154 1775890274.008000
164 148 1775890274.025000
164 143 1775890274.042000
166 141 1775890274.058000
170 141 1775890274.075000
176 141 1775890274.091000

STROKE 3
182 112 1775890274.299000
173 116 1775890274.375000
169 118 1775890274.392000
165 119 1775890274.408000
161 119 1775890274.425000
157 115 1775890274.441000
156 107 1775890274.458000
156 100 1775890274.477000
157 94 1775890274.491000
161 90 1775890274.508000
166 89 1775890274.524000
171 89 1775890274.541000
173 90 1775890274.558000
173 95 1775890274.574000
173 102 1775890274.591000
173 115 1775890274.607000
173 123 1775890274.624000

STROKE 4
197 156 1775890279.924000
192 151 1775890280.050000
190 147 1775890280.067000
189 142 1775890280.083000
189 137 1775890280.100000
189 133 1775890280.116000
191 130 1775890280.133000
195 127 1775890280.149000
199 127 1775890280.166000
204 127 1775890280.183000
207 127 1775890280.199000
210 127 1775890280.216000
211 129 1775890280.233000
212 133 1775890280.249000
212 139 1775890280.266000
212 144 1775890280.282000
212 149 1775890280.299000
212 152 1775890280.316000
211 155 1775890280.333000
209 157 1775890280.349000
206 158 1775890280.366000
204 159 1775890280.382000
202 159 1775890280.399000

STROKE 5
218 148 1775890280.939000
220 135 1775890280.982000
225 133 1775890280.999000
231 132 1775890281.015000
237 132 1775890281.032000
242 132 1775890281.048000
244 133 1775890281.065000
244 138 1775890281.082000
244 142 1775890281.098000
244 147 1775890281.115000
244 151 1775890281.131000
244 156 1775890281.148000

STROKE 6
220 131 1775890281.406000
212 122 1775890281.481000
212 117 1775890281.498000
213 109 1775890281.514000
218 102 1775890281.531000
225 99 1775890281.547000
239 99 1775890281.564000

