STROKE 1
123 140 1775637546.493000
134 135 1775637546.553000
139 139 1775637546.569000
144 143 1775637546.586000
147 147 1775637546.603000
147 152 1775637546.619000
147 157 1775637546.636000
143 162 1775637546.652000
138 166 1775637546.669000
132 168 1775637546.685000
127 168 1775637546.702000
121 168 1775637546.719000
116 163 1775637546.735000
113 155 1775637546.752000
112 144 1775637546.769000
113 133 1775637546.785000
120 123 1775637546.802000
127 116 1775637546.818000
134 112 1775637546.835000
141 111 1775637546.852000
150 111 1775637546.868000

STROKE 2
181 164 1775637547.059000
172 159 1775637547.101000
170 154 1775637547.118000
169 148 1775637547.135000
169 142 1775637547.152000
171 137 1775637547.168000
175 133 1775637547.185000
180 130 1775637547.201000
184 130 1775637547.218000
187 130 1775637547.235000
189 131 1775637547.252000
191 136 1775637547.268000
193 141 1775637547.285000
194 144 1775637547.301000
194 146 1775637547.318000
194 147 1775637547.334000
195 142 1775637547.368000
197 134 1775637547.385000
202 128 1775637547.401000
207 123 1775637547.418000
212 121 1775637547.434000
217 120 1775637547.451000
221 120 1775637547.468000
225 124 1775637547.484000
228 130 1775637547.501000
230 137 1775637547.517000
230 145 1775637547.534000
230 152 1775637547.551000
230 158 1775637547.567000
228 164 1775637547.584000
226 166 1775637547.601000
224 167 1775637547.618000
223 167 1775637547.634000

STROKE 3
251 116 1775637547.774000
251 123 1775637547.817000
252 132 1775637547.834000
254 141 1775637547.851000
255 150 1775637547.867000
255 160 1775637547.884000
255 170 1775637547.900000
254 181 1775637547.917000
250 191 1775637547.934000
246 200 1775637547.950000
240 205 1775637547.967000
234 206 1775637547.985000
228 206 1775637548.000000
224 203 1775637548.017000
221 198 1775637548.033000
221 192 1775637548.050000
221 186 1775637548.067000

STROKE 4
281 116 1775637548.357000
282 123 1775637548.517000
279 122 1775637548.533000
277 121 1775637548.550000
277 120 1775637548.566000
277 120 1775637548.583000
277 119 1775637548.599000

STROKE 5
287 153 1775637549.539000
284 156 1775637549.732000
282 158 1775637549.749000
281 158 1775637549.765000
281 159 1775637549.781000
281 159 1775637549.881000

