STROKE 1
207 428 1775579115.226000
207 427 1775579115.343000
205 423 1775579115.350000
204 418 1775579115.360000
202 415 1775579115.370000
202 410 1775579115.380000
202 402 1775579115.390000
202 397 1775579115.400000
202 394 1775579115.410000
202 388 1775579115.420000
202 375 1775579115.430000
202 368 1775579115.440000
204 364 1775579115.450000
206 360 1775579115.460000
214 355 1775579115.470000
217 354 1775579115.480000
222 354 1775579115.490000
227 354 1775579115.500000
238 356 1775579115.510000
244 360 1775579115.520000
249 365 1775579115.530000
255 372 1775579115.540000
263 383 1775579115.550000
267 390 1775579115.560000
270 396 1775579115.570000
272 402 1775579115.580000
273 410 1775579115.590000
275 414 1775579115.600000
275 417 1775579115.610000
275 420 1775579115.621000
275 423 1775579115.630000
275 423 1775579115.641000
275 423 1775579115.650000
274 423 1775579115.660000
272 417 1775579115.671000
270 412 1775579115.680000
269 405 1775579115.690000
267 399 1775579115.700000
266 386 1775579115.710000
266 380 1775579115.720000
266 375 1775579115.730000
266 370 1775579115.740000
270 361 1775579115.750000
272 358 1775579115.760000
274 356 1775579115.770000
276 354 1775579115.780000
282 350 1775579115.790000
284 349 1775579115.800000
287 348 1775579115.811000
289 348 1775579115.820000
294 348 1775579115.831000
298 348 1775579115.840000
299 349 1775579115.850000
302 352 1775579115.860000
306 359 1775579115.870000
308 363 1775579115.880000
310 368 1775579115.890000
310 373 1775579115.901000
311 380 1775579115.910000
311 387 1775579115.920000
311 391 1775579115.930000
311 393 1775579115.941000
311 400 1775579115.950000
311 403 1775579115.960000
311 406 1775579115.970000
310 411 1775579115.980000
310 413 1775579115.990000
309 414 1775579116.000000
309 415 1775579116.010000
309 417 1775579116.020000
308 417 1775579116.030000
308 417 1775579116.040000
308 418 1775579116.050000
308 418 1775579116.061000
308 419 1775579116.071000
308 420 1775579116.080000

STROKE 2
308 415 1775579116.785000
308 415 1775579116.885000
308 420 1775579116.901000
308 424 1775579116.910000
308 427 1775579116.920000
308 430 1775579116.930000
308 437 1775579116.940000
308 442 1775579116.950000
308 448 1775579116.960000
309 453 1775579116.970000
309 463 1775579116.980000
310 465 1775579116.990000
311 470 1775579117.000000
312 473 1775579117.010000
313 479 1775579117.020000
314 481 1775579117.030000
315 483 1775579117.040000
315 485 1775579117.050000
317 488 1775579117.060000
318 489 1775579117.070000
319 490 1775579117.080000
320 491 1775579117.090000
323 492 1775579117.100000
324 492 1775579117.110000
325 492 1775579117.120000
327 492 1775579117.130000
332 492 1775579117.140000
334 492 1775579117.150000
336 491 1775579117.160000
338 490 1775579117.170000
342 487 1775579117.180000
344 485 1775579117.190000
346 483 1775579117.201000
348 481 1775579117.211000
352 473 1775579117.220000
354 469 1775579117.230000
355 467 1775579117.240000
356 464 1775579117.251000
358 458 1775579117.260000
358 452 1775579117.269000
359 450 1775579117.280000
359 446 1775579117.289000
358 439 1775579117.300000
356 434 1775579117.309000
353 429 1775579117.319000
348 417 1775579117.330000
346 410 1775579117.340000
343 402 1775579117.350000
340 395 1775579117.359000
336 379 1775579117.370000
333 371 1775579117.380000
333 368 1775579117.390000
332 361 1775579117.399000
331 357 1775579117.409000
330 351 1775579117.420000
330 348 1775579117.429000
330 347 1775579117.440000
330 346 1775579117.450000
330 345 1775579117.460000
330 345 1775579117.470000

STROKE 3
281 456 1775579118.221000
281 455 1775579118.336000
281 454 1775579118.350000
281 452 1775579118.360000
281 450 1775579118.370000
282 449 1775579118.380000
283 449 1775579118.390000
286 448 1775579118.400000
289 448 1775579118.410000
291 448 1775579118.420000
295 448 1775579118.430000
296 448 1775579118.440000
302 450 1775579118.450000
304 452 1775579118.460000
306 455 1775579118.470000
308 459 1775579118.480000
312 467 1775579118.490000
314 473 1775579118.500000
316 479 1775579118.510000
317 481 1775579118.520000
318 490 1775579118.530000
319 493 1775579118.540000
319 496 1775579118.550000
319 499 1775579118.560000
319 502 1775579118.570000
319 504 1775579118.580000
319 505 1775579118.590000
317 507 1775579118.600000
315 509 1775579118.610000
313 510 1775579118.620000
310 512 1775579118.631000
308 512 1775579118.640000
302 513 1775579118.650000
299 513 1775579118.660000
296 513 1775579118.670000
292 513 1775579118.680000
285 511 1775579118.690000
281 509 1775579118.700000
278 507 1775579118.710000
272 501 1775579118.720000
269 498 1775579118.730000
267 494 1775579118.740000
266 492 1775579118.750000
263 483 1775579118.760000
262 479 1775579118.770000
262 478 1775579118.780000
262 474 1775579118.790000
262 466 1775579118.800000
262 465 1775579118.810000
263 462 1775579118.820000
264 460 1775579118.830000
269 456 1775579118.840000
271 455 1775579118.850000
274 454 1775579118.860000
277 454 1775579118.870000
281 454 1775579118.880000
288 454 1775579118.890000
290 454 1775579118.900000
293 455 1775579118.910000
298 457 1775579118.920000

STROKE 4
376 336 1775579119.637000
373 333 1775579119.928000
371 331 1775579119.941000
370 330 1775579119.950000
367 328 1775579119.961000
366 328 1775579119.969000
366 328 1775579119.980000
365 327 1775579119.990000
365 327 1775579120.000000
364 327 1775579120.010000
364 327 1775579120.020000
364 327 1775579120.030000
364 328 1775579120.040000
364 330 1775579120.050000
364 332 1775579120.060000
367 336 1775579120.070000
374 343 1775579120.081000
378 347 1775579120.090000
382 350 1775579120.100000
384 352 1775579120.110000
391 357 1775579120.121000
393 359 1775579120.130000
395 360 1775579120.140000
398 362 1775579120.150000
401 365 1775579120.160000
403 366 1775579120.170000
406 369 1775579120.180000
409 374 1775579120.190000
410 377 1775579120.200000
411 380 1775579120.210000
412 384 1775579120.220000
413 390 1775579120.230000
413 393 1775579120.240000
413 396 1775579120.250000
413 399 1775579120.260000
411 405 1775579120.270000
409 408 1775579120.280000
406 411 1775579120.290000
403 413 1775579120.300000
401 415 1775579120.310000
396 419 1775579120.321000
394 421 1775579120.330000
392 422 1775579120.341000
390 422 1775579120.350000
387 423 1775579120.360000
386 423 1775579120.370000
385 423 1775579120.380000
384 419 1775579120.391000
